Generation,Entry1,Entry2,Entry3,Entry4,Entry5,Entry6,Entry7,Entry8,Entry9,Entry10,Entry11,Entry12,Entry13,Entry14,Entry15,Entry16,Entry17,Entry18,Entry19,Entry20,Entry21,Entry22,Entry23,Entry24,Entry25,Entry26,Entry27,Entry28,Entry29,Entry30,Entry31,Entry32,Entry33,Entry34,Entry35,Entry36,Entry37,Entry38,Entry39,Entry40,Entry41,Entry42,Entry43,Entry44,Entry45,Entry46,Entry47,Entry48,Entry49,Entry50,Entry51,Entry52,Entry53,Entry54,Entry55,Entry56,Entry57,Entry58,Entry59,Entry60
1,0.810000 (0.810000 + 0.000000),0.814000 (0.814000 + 0.000000),0.814000 (0.814000 + 0.000000),0.813000 (0.813000 + 0.000000),0.822000 (0.822000 + 0.000000),0.803000 (0.803000 + 0.000000),0.801000 (0.801000 + 0.000000),0.810000 (0.810000 + 0.000000),0.807000 (0.807000 + 0.000000),0.819000 (0.819000 + 0.000000),0.815000 (0.815000 + 0.000000),0.820000 (0.820000 + 0.000000),0.805000 (0.805000 + 0.000000),0.823000 (0.823000 + 0.000000),0.807000 (0.807000 + 0.000000),0.811000 (0.811000 + 0.000000),0.796000 (0.796000 + 0.000000),0.809000 (0.809000 + 0.000000),0.825000 (0.825000 + 0.000000),0.824000 (0.824000 + 0.000000),0.808000 (0.808000 + 0.000000),0.806000 (0.806000 + 0.000000),0.829000 (0.829000 + 0.000000),0.797000 (0.797000 + 0.000000),0.812000 (0.812000 + 0.000000),0.810000 (0.810000 + 0.000000),0.825000 (0.825000 + 0.000000),0.821000 (0.821000 + 0.000000),0.817000 (0.817000 + 0.000000),0.830000 (0.830000 + 0.000000),0.813000 (0.813000 + 0.000000),0.811000 (0.811000 + 0.000000),0.819000 (0.819000 + 0.000000),0.805000 (0.805000 + 0.000000),0.818000 (0.818000 + 0.000000),0.814000 (0.814000 + 0.000000),0.813000 (0.813000 + 0.000000),0.821000 (0.821000 + 0.000000),0.822000 (0.822000 + 0.000000),0.822000 (0.822000 + 0.000000),0.826000 (0.826000 + 0.000000),0.818000 (0.818000 + 0.000000),0.810000 (0.810000 + 0.000000),0.795000 (0.795000 + 0.000000),0.813000 (0.813000 + 0.000000),0.812000 (0.812000 + 0.000000),0.833000 (0.833000 + 0.000000),0.801000 (0.801000 + 0.000000),0.832000 (0.832000 + 0.000000),0.807000 (0.807000 + 0.000000),0.801000 (0.801000 + 0.000000),0.809000 (0.809000 + 0.000000),0.807000 (0.807000 + 0.000000),0.806000 (0.806000 + 0.000000),0.804000 (0.804000 + 0.000000),0.819000 (0.819000 + 0.000000),0.802000 (0.802000 + 0.000000),0.829000 (0.829000 + 0.000000),0.816000 (0.816000 + 0.000000),0.823000 (0.823000 + 0.000000)
2,0.810000 (0.810000 + 0.000000),0.814000 (0.814000 + 0.000000),0.814000 (0.814000 + 0.000000),0.813000 (0.813000 + 0.000000),0.822000 (0.822000 + 0.000000),0.803000 (0.803000 + 0.000000),0.801000 (0.801000 + 0.000000),0.810000 (0.810000 + 0.000000),0.807000 (0.807000 + 0.000000),0.819000 (0.819000 + 0.000000),0.815000 (0.815000 + 0.000000),0.820000 (0.820000 + 0.000000),0.805000 (0.805000 + 0.000000),0.823000 (0.823000 + 0.000000),0.807000 (0.807000 + 0.000000),0.811000 (0.811000 + 0.000000),0.796000 (0.796000 + 0.000000),0.809000 (0.809000 + 0.000000),0.825000 (0.825000 + 0.000000),0.824000 (0.824000 + 0.000000),0.808000 (0.808000 + 0.000000),0.806000 (0.806000 + 0.000000),0.829000 (0.829000 + 0.000000),0.797000 (0.797000 + 0.000000),0.812000 (0.812000 + 0.000000),0.810000 (0.810000 + 0.000000),0.825000 (0.825000 + 0.000000),0.821000 (0.821000 + 0.000000),0.817000 (0.817000 + 0.000000),0.830000 (0.830000 + 0.000000),0.813000 (0.813000 + 0.000000),0.811000 (0.811000 + 0.000000),0.819000 (0.819000 + 0.000000),0.805000 (0.805000 + 0.000000),0.818000 (0.818000 + 0.000000),0.814000 (0.814000 + 0.000000),0.813000 (0.813000 + 0.000000),0.821000 (0.821000 + 0.000000),0.822000 (0.822000 + 0.000000),0.822000 (0.822000 + 0.000000),0.826000 (0.826000 + 0.000000),0.818000 (0.818000 + 0.000000),0.810000 (0.810000 + 0.000000),0.795000 (0.795000 + 0.000000),0.813000 (0.813000 + 0.000000),0.812000 (0.812000 + 0.000000),0.833000 (0.833000 + 0.000000),0.801000 (0.801000 + 0.000000),0.832000 (0.832000 + 0.000000),0.807000 (0.807000 + 0.000000),0.801000 (0.801000 + 0.000000),0.809000 (0.809000 + 0.000000),0.807000 (0.807000 + 0.000000),0.806000 (0.806000 + 0.000000),0.804000 (0.804000 + 0.000000),0.819000 (0.819000 + 0.000000),0.802000 (0.802000 + 0.000000),0.829000 (0.829000 + 0.000000),0.816000 (0.816000 + 0.000000),0.823000 (0.823000 + 0.000000)
3,0.833000 (0.833000 + 0.000000),0.826000 (0.826000 + 0.000000),0.832000 (0.832000 + 0.000000),0.832000 (0.832000 + 0.000000),0.818000 (0.818000 + 0.000000),0.812000 (0.812000 + 0.000000),0.807000 (0.807000 + 0.000000),0.834000 (0.834000 + 0.000000),0.808000 (0.808000 + 0.000000),0.813000 (0.813000 + 0.000000),0.814000 (0.814000 + 0.000000),0.834000 (0.834000 + 0.000000),0.822000 (0.822000 + 0.000000),0.808000 (0.808000 + 0.000000),0.821000 (0.821000 + 0.000000),0.819000 (0.819000 + 0.000000),0.817000 (0.817000 + 0.000000),0.820000 (0.820000 + 0.000000),0.829000 (0.829000 + 0.000000),0.836000 (0.836000 + 0.000000),0.837000 (0.837000 + 0.000000),0.822000 (0.822000 + 0.000000),0.824000 (0.824000 + 0.000000),0.821000 (0.821000 + 0.000000),0.815000 (0.815000 + 0.000000),0.815000 (0.815000 + 0.000000),0.815000 (0.815000 + 0.000000),0.840000 (0.840000 + 0.000000),0.823000 (0.823000 + 0.000000),0.810000 (0.810000 + 0.000000),0.809000 (0.809000 + 0.000000),0.821000 (0.821000 + 0.000000),0.809000 (0.809000 + 0.000000),0.819000 (0.819000 + 0.000000),0.825000 (0.825000 + 0.000000),0.808000 (0.808000 + 0.000000),0.817000 (0.817000 + 0.000000),0.828000 (0.828000 + 0.000000),0.814000 (0.814000 + 0.000000),0.819000 (0.819000 + 0.000000),0.818000 (0.818000 + 0.000000),0.824000 (0.824000 + 0.000000),0.828000 (0.828000 + 0.000000),0.825000 (0.825000 + 0.000000),0.811000 (0.811000 + 0.000000),0.821000 (0.821000 + 0.000000),0.824000 (0.824000 + 0.000000),0.820000 (0.820000 + 0.000000),0.818000 (0.818000 + 0.000000),0.815000 (0.815000 + 0.000000),0.820000 (0.820000 + 0.000000),0.808000 (0.808000 + 0.000000),0.832000 (0.832000 + 0.366667),0.819000 (0.819000 + 0.455556),0.805000 (0.805000 + 0.544444),0.837000 (0.837000 + 0.527778),0.817000 (0.817000 + 0.411111),0.833000 (0.833000 + 0.561111),0.833000 (0.833000 + 0.461111),0.822000 (0.822000 + 0.461988)
4,0.840000 (0.840000 + 0.000000),0.809000 (0.809000 + 0.000000),0.814000 (0.814000 + 0.000000),0.815000 (0.815000 + 0.000000),0.815000 (0.815000 + 0.000000),0.809000 (0.809000 + 0.000000),0.814000 (0.814000 + 0.000000),0.829000 (0.829000 + 0.000000),0.821000 (0.821000 + 0.000000),0.802000 (0.802000 + 0.000000),0.815000 (0.815000 + 0.000000),0.829000 (0.829000 + 0.000000),0.828000 (0.828000 + 0.000000),0.843000 (0.843000 + 0.000000),0.805000 (0.805000 + 0.000000),0.825000 (0.825000 + 0.000000),0.833000 (0.833000 + 0.000000),0.822000 (0.822000 + 0.000000),0.834000 (0.834000 + 0.000000),0.808000 (0.808000 + 0.000000),0.833000 (0.833000 + 0.000000),0.827000 (0.827000 + 0.000000),0.837000 (0.837000 + 0.000000),0.825000 (0.825000 + 0.000000),0.818000 (0.818000 + 0.000000),0.821000 (0.821000 + 0.000000),0.828000 (0.828000 + 0.000000),0.815000 (0.815000 + 0.000000),0.833000 (0.833000 + 0.000000),0.833000 (0.833000 + 0.000000),0.825000 (0.825000 + 0.000000),0.812000 (0.812000 + 0.000000),0.816000 (0.816000 + 0.000000),0.834000 (0.834000 + 0.000000),0.821000 (0.821000 + 0.000000),0.810000 (0.810000 + 0.000000),0.824000 (0.824000 + 0.000000),0.829000 (0.829000 + 0.000000),0.817000 (0.817000 + 0.000000),0.833000 (0.833000 + 0.000000),0.834000 (0.834000 + 0.000000),0.809000 (0.809000 + 0.000000),0.827000 (0.827000 + 0.000000),0.826000 (0.826000 + 0.000000),0.848000 (0.848000 + 0.000000),0.827000 (0.827000 + 0.000000),0.822000 (0.822000 + 0.000000),0.837000 (0.837000 + 0.000000),0.810000 (0.810000 + 0.000000),0.809000 (0.809000 + 0.000000),0.820000 (0.820000 + 0.000000),0.814000 (0.814000 + 0.000000),0.822000 (0.822000 + 0.000000),0.811000 (0.811000 + 0.000000),0.829000 (0.829000 + 0.000000),0.827000 (0.827000 + 0.000000),0.830000 (0.830000 + 0.622222),0.827000 (0.827000 + 0.000000),0.818000 (0.818000 + 0.450000),0.826000 (0.826000 + 0.522222)
5,0.848000 (0.848000 + 0.000000),0.826000 (0.826000 + 0.000000),0.835000 (0.835000 + 0.000000),0.832000 (0.832000 + 0.000000),0.834000 (0.834000 + 0.000000),0.807000 (0.807000 + 0.000000),0.824000 (0.824000 + 0.000000),0.833000 (0.833000 + 0.000000),0.814000 (0.814000 + 0.508772),0.838000 (0.838000 + 0.292398),0.812000 (0.812000 + 0.555556),0.840000 (0.840000 + 0.508772),0.831000 (0.831000 + 0.533333),0.833000 (0.833000 + 0.400000),0.838000 (0.838000 + 0.372222),0.834000 (0.834000 + 0.505556),0.809000 (0.809000 + 0.400000),0.811000 (0.811000 + 0.416667),0.823000 (0.823000 + 0.533333),0.836000 (0.836000 + 0.497076),0.836000 (0.836000 + 0.611111),0.820000 (0.820000 + 0.400000),0.823000 (0.823000 + 0.339181),0.819000 (0.819000 + 0.394444),0.827000 (0.827000 + 0.000000),0.828000 (0.828000 + 0.000000),0.821000 (0.821000 + 0.000000),0.815000 (0.815000 + 0.000000),0.817000 (0.817000 + 0.000000),0.821000 (0.821000 + 0.000000),0.825000 (0.825000 + 0.000000),0.825000 (0.825000 + 0.000000),0.824000 (0.824000 + 0.000000),0.817000 (0.817000 + 0.000000),0.822000 (0.822000 + 0.000000),0.828000 (0.828000 + 0.000000),0.837000 (0.837000 + 0.000000),0.821000 (0.821000 + 0.000000),0.817000 (0.817000 + 0.000000),0.820000 (0.820000 + 0.000000),0.832000 (0.832000 + 0.000000),0.828000 (0.828000 + 0.000000),0.830000 (0.830000 + 0.000000),0.821000 (0.821000 + 0.000000),0.816000 (0.816000 + 0.000000),0.822000 (0.822000 + 0.000000),0.833000 (0.833000 + 0.000000),0.809000 (0.809000 + 0.000000),0.820000 (0.820000 + 0.000000),0.816000 (0.816000 + 0.000000),0.827000 (0.827000 + 0.000000),0.821000 (0.821000 + 0.000000),0.836000 (0.836000 + 0.000000),0.826000 (0.826000 + 0.000000),0.818000 (0.818000 + 0.000000),0.833000 (0.833000 + 0.000000),0.825000 (0.825000 + 0.000000),0.836000 (0.836000 + 0.000000),0.831000 (0.831000 + 0.000000),0.834000 (0.834000 + 0.000000)
6,0.848000 (0.848000 + 0.000000),0.833000 (0.833000 + 0.000000),0.837000 (0.837000 + 0.000000),0.837000 (0.837000 + 0.000000),0.819000 (0.819000 + 0.000000),0.834000 (0.834000 + 0.000000),0.824000 (0.824000 + 0.000000),0.826000 (0.826000 + 0.000000),0.818000 (0.818000 + 0.000000),0.828000 (0.828000 + 0.000000),0.820000 (0.820000 + 0.000000),0.805000 (0.805000 + 0.000000),0.831000 (0.831000 + 0.000000),0.834000 (0.834000 + 0.000000),0.830000 (0.830000 + 0.000000),0.834000 (0.834000 + 0.000000),0.832000 (0.832000 + 0.000000),0.824000 (0.824000 + 0.000000),0.829000 (0.829000 + 0.000000),0.810000 (0.810000 + 0.000000),0.839000 (0.839000 + 0.000000),0.820000 (0.820000 + 0.000000),0.818000 (0.818000 + 0.000000),0.826000 (0.826000 + 0.000000),0.826000 (0.826000 + 0.000000),0.838000 (0.838000 + 0.000000),0.838000 (0.838000 + 0.000000),0.815000 (0.815000 + 0.000000),0.813000 (0.813000 + 0.000000),0.826000 (0.826000 + 0.000000),0.826000 (0.826000 + 0.000000),0.835000 (0.835000 + 0.000000),0.836000 (0.836000 + 0.000000),0.835000 (0.835000 + 0.000000),0.848000 (0.848000 + 0.000000),0.835000 (0.835000 + 0.000000),0.835000 (0.835000 + 0.000000),0.832000 (0.832000 + 0.000000),0.825000 (0.825000 + 0.000000),0.826000 (0.826000 + 0.000000),0.815000 (0.815000 + 0.000000),0.816000 (0.816000 + 0.000000),0.832000 (0.832000 + 0.000000),0.825000 (0.825000 + 0.000000),0.816000 (0.816000 + 0.000000),0.828000 (0.828000 + 0.000000),0.819000 (0.819000 + 0.000000),0.815000 (0.815000 + 0.000000),0.821000 (0.821000 + 0.000000),0.830000 (0.830000 + 0.000000),0.821000 (0.821000 + 0.000000),0.829000 (0.829000 + 0.000000),0.820000 (0.820000 + 0.000000),0.838000 (0.838000 + 0.000000),0.836000 (0.836000 + 0.000000),0.835000 (0.835000 + 0.000000),0.830000 (0.830000 + 0.000000),0.842000 (0.842000 + 0.000000),0.814000 (0.814000 + 0.000000),0.829000 (0.829000 + 0.000000)
7,0.848000 (0.848000 + 0.000000),0.837000 (0.837000 + 0.000000),0.835000 (0.835000 + 0.000000),0.828000 (0.828000 + 0.000000),0.830000 (0.830000 + 0.000000),0.830000 (0.830000 + 0.000000),0.848000 (0.848000 + 0.000000),0.827000 (0.827000 + 0.000000),0.840000 (0.840000 + 0.000000),0.815000 (0.815000 + 0.000000),0.831000 (0.831000 + 0.000000),0.825000 (0.825000 + 0.000000),0.827000 (0.827000 + 0.000000),0.824000 (0.824000 + 0.555556),0.839000 (0.839000 + 0.400000),0.835000 (0.835000 + 0.508772),0.825000 (0.825000 + 0.611111),0.830000 (0.830000 + 0.533333),0.818000 (0.818000 + 0.400000),0.837000 (0.837000 + 0.400000),0.830000 (0.830000 + 0.292398),0.838000 (0.838000 + 0.339181),0.819000 (0.819000 + 0.505556),0.833000 (0.833000 + 0.416667),0.835000 (0.835000 + 0.394444),0.824000 (0.824000 + 0.533333),0.838000 (0.838000 + 0.508772),0.808000 (0.808000 + 0.497076),0.827000 (0.827000 + 0.372222),0.829000 (0.829000 + 0.000000),0.835000 (0.835000 + 0.000000),0.829000 (0.829000 + 0.000000),0.826000 (0.826000 + 0.000000),0.820000 (0.820000 + 0.000000),0.836000 (0.836000 + 0.000000),0.834000 (0.834000 + 0.000000),0.838000 (0.838000 + 0.000000),0.834000 (0.834000 + 0.000000),0.823000 (0.823000 + 0.000000),0.835000 (0.835000 + 0.000000),0.827000 (0.827000 + 0.000000),0.826000 (0.826000 + 0.000000),0.831000 (0.831000 + 0.000000),0.835000 (0.835000 + 0.000000),0.832000 (0.832000 + 0.000000),0.831000 (0.831000 + 0.000000),0.820000 (0.820000 + 0.000000),0.820000 (0.820000 + 0.000000),0.844000 (0.844000 + 0.000000),0.841000 (0.841000 + 0.000000),0.828000 (0.828000 + 0.000000),0.840000 (0.840000 + 0.000000),0.853000 (0.853000 + 0.000000),0.822000 (0.822000 + 0.000000),0.824000 (0.824000 + 0.000000),0.834000 (0.834000 + 0.000000),0.825000 (0.825000 + 0.000000),0.818000 (0.818000 + 0.000000),0.812000 (0.812000 + 0.000000),0.838000 (0.838000 + 0.000000)
8,0.853000 (0.853000 + 0.000000),0.827000 (0.827000 + 0.000000),0.832000 (0.832000 + 0.000000),0.821000 (0.821000 + 0.000000),0.831000 (0.831000 + 0.000000),0.839000 (0.839000 + 0.000000),0.821000 (0.821000 + 0.000000),0.833000 (0.833000 + 0.000000),0.821000 (0.821000 + 0.000000),0.816000 (0.816000 + 0.000000),0.821000 (0.821000 + 0.000000),0.823000 (0.823000 + 0.000000),0.836000 (0.836000 + 0.000000),0.842000 (0.842000 + 0.000000),0.833000 (0.833000 + 0.000000),0.831000 (0.831000 + 0.000000),0.836000 (0.836000 + 0.000000),0.826000 (0.826000 + 0.000000),0.831000 (0.831000 + 0.000000),0.818000 (0.818000 + 0.000000),0.833000 (0.833000 + 0.000000),0.826000 (0.826000 + 0.000000),0.838000 (0.838000 + 0.000000),0.828000 (0.828000 + 0.000000),0.831000 (0.831000 + 0.000000),0.820000 (0.820000 + 0.000000),0.820000 (0.820000 + 0.000000),0.837000 (0.837000 + 0.000000),0.828000 (0.828000 + 0.000000),0.825000 (0.825000 + 0.000000),0.827000 (0.827000 + 0.000000),0.832000 (0.832000 + 0.000000),0.807000 (0.807000 + 0.000000),0.820000 (0.820000 + 0.000000),0.831000 (0.831000 + 0.000000),0.853000 (0.853000 + 0.000000),0.831000 (0.831000 + 0.000000),0.826000 (0.826000 + 0.000000),0.837000 (0.837000 + 0.000000),0.824000 (0.824000 + 0.000000),0.838000 (0.838000 + 0.000000),0.831000 (0.831000 + 0.000000),0.839000 (0.839000 + 0.000000),0.837000 (0.837000 + 0.000000),0.830000 (0.830000 + 0.000000),0.833000 (0.833000 + 0.000000),0.843000 (0.843000 + 0.000000),0.841000 (0.841000 + 0.000000),0.830000 (0.830000 + 0.000000),0.831000 (0.831000 + 0.000000),0.833000 (0.833000 + 0.000000),0.825000 (0.825000 + 0.000000),0.830000 (0.830000 + 0.000000),0.823000 (0.823000 + 0.000000),0.819000 (0.819000 + 0.000000),0.837000 (0.837000 + 0.000000),0.835000 (0.835000 + 0.000000),0.838000 (0.838000 + 0.000000),0.807000 (0.807000 + 0.000000),0.820000 (0.820000 + 0.000000)
9,0.853000 (0.853000 + 0.000000),0.853000 (0.853000 + 0.000000),0.830000 (0.830000 + 0.000000),0.838000 (0.838000 + 0.000000),0.844000 (0.844000 + 0.000000),0.834000 (0.834000 + 0.000000),0.836000 (0.836000 + 0.000000),0.831000 (0.831000 + 0.000000),0.834000 (0.834000 + 0.000000),0.830000 (0.830000 + 0.000000),0.820000 (0.820000 + 0.000000),0.827000 (0.827000 + 0.000000),0.832000 (0.832000 + 0.000000),0.838000 (0.838000 + 0.000000),0.836000 (0.836000 + 0.000000),0.838000 (0.838000 + 0.000000),0.853000 (0.853000 + 0.000000),0.826000 (0.826000 + 0.339181),0.823000 (0.823000 + 0.000000),0.830000 (0.830000 + 0.400000),0.838000 (0.838000 + 0.416667),0.833000 (0.833000 + 0.497076),0.832000 (0.832000 + 0.508772),0.832000 (0.832000 + 0.000000),0.826000 (0.826000 + 0.394444),0.824000 (0.824000 + 0.372222),0.849000 (0.849000 + 0.000000),0.831000 (0.831000 + 0.508772),0.829000 (0.829000 + 0.400000),0.830000 (0.830000 + 0.000000),0.830000 (0.830000 + 0.400000),0.820000 (0.820000 + 0.555556),0.814000 (0.814000 + 0.611111),0.827000 (0.827000 + 0.292398),0.836000 (0.836000 + 0.533333),0.821000 (0.821000 + 0.533333),0.828000 (0.828000 + 0.505556),0.833000 (0.833000 + 0.000000),0.836000 (0.836000 + 0.000000),0.825000 (0.825000 + 0.000000),0.838000 (0.838000 + 0.000000),0.834000 (0.834000 + 0.000000),0.841000 (0.841000 + 0.000000),0.830000 (0.830000 + 0.000000),0.843000 (0.843000 + 0.000000),0.830000 (0.830000 + 0.000000),0.829000 (0.829000 + 0.000000),0.814000 (0.814000 + 0.000000),0.820000 (0.820000 + 0.000000),0.833000 (0.833000 + 0.000000),0.829000 (0.829000 + 0.000000),0.830000 (0.830000 + 0.000000),0.830000 (0.830000 + 0.000000),0.839000 (0.839000 + 0.000000),0.821000 (0.821000 + 0.000000),0.840000 (0.840000 + 0.000000),0.840000 (0.840000 + 0.000000),0.839000 (0.839000 + 0.000000),0.833000 (0.833000 + 0.000000),0.833000 (0.833000 + 0.000000)
10,0.853000 (0.853000 + 0.000000),0.837000 (0.837000 + 0.000000),0.832000 (0.832000 + 0.000000),0.833000 (0.833000 + 0.000000),0.833000 (0.833000 + 0.000000),0.827000 (0.827000 + 0.000000),0.843000 (0.843000 + 0.000000),0.826000 (0.826000 + 0.000000),0.838000 (0.838000 + 0.000000),0.838000 (0.838000 + 0.000000),0.831000 (0.831000 + 0.000000),0.833000 (0.833000 + 0.000000),0.837000 (0.837000 + 0.000000),0.827000 (0.827000 + 0.000000),0.832000 (0.832000 + 0.000000),0.837000 (0.837000 + 0.000000),0.827000 (0.827000 + 0.000000),0.832000 (0.832000 + 0.000000),0.836000 (0.836000 + 0.000000),0.820000 (0.820000 + 0.000000),0.828000 (0.828000 + 0.000000),0.833000 (0.833000 + 0.000000),0.831000 (0.831000 + 0.000000),0.831000 (0.831000 + 0.000000),0.830000 (0.830000 + 0.000000),0.830000 (0.830000 + 0.000000),0.822000 (0.822000 + 0.000000),0.837000 (0.837000 + 0.000000),0.834000 (0.834000 + 0.000000),0.850000 (0.850000 + 0.000000),0.826000 (0.826000 + 0.000000),0.829000 (0.829000 + 0.000000),0.824000 (0.824000 + 0.000000),0.826000 (0.826000 + 0.000000),0.844000 (0.844000 + 0.000000),0.841000 (0.841000 + 0.000000),0.821000 (0.821000 + 0.000000),0.839000 (0.839000 + 0.000000),0.855000 (0.855000 + 0.000000),0.849000 (0.849000 + 0.000000),0.838000 (0.838000 + 0.000000),0.826000 (0.826000 + 0.000000),0.844000 (0.844000 + 0.000000),0.836000 (0.836000 + 0.000000),0.834000 (0.834000 + 0.000000),0.827000 (0.827000 + 0.000000),0.834000 (0.834000 + 0.000000),0.835000 (0.835000 + 0.000000),0.827000 (0.827000 + 0.000000),0.831000 (0.831000 + 0.000000),0.833000 (0.833000 + 0.000000),0.853000 (0.853000 + 0.000000),0.833000 (0.833000 + 0.000000),0.841000 (0.841000 + 0.000000),0.826000 (0.826000 + 0.000000),0.849000 (0.849000 + 0.000000),0.844000 (0.844000 + 0.000000),0.838000 (0.838000 + 0.000000),0.832000 (0.832000 + 0.000000),0.831000 (0.831000 + 0.000000)
