Generation,Entry1,Entry2,Entry3,Entry4,Entry5,Entry6,Entry7,Entry8,Entry9,Entry10,Entry11,Entry12,Entry13,Entry14,Entry15,Entry16,Entry17,Entry18,Entry19,Entry20,Entry21,Entry22,Entry23,Entry24,Entry25,Entry26,Entry27,Entry28,Entry29,Entry30,Entry31,Entry32,Entry33,Entry34,Entry35,Entry36,Entry37,Entry38,Entry39,Entry40,Entry41,Entry42,Entry43,Entry44,Entry45,Entry46,Entry47,Entry48,Entry49,Entry50
1,0.163600 (0.092700 + 0.070900),0.098100 (0.027000 + 0.071100),0.089800 (0.019800 + 0.070000),0.102000 (0.031500 + 0.070500),0.094600 (0.023400 + 0.071200),0.122900 (0.050400 + 0.072500),0.134800 (0.061200 + 0.073600),0.080800 (0.009900 + 0.070900),0.110000 (0.039600 + 0.070400),0.169000 (0.098100 + 0.070900),0.107200 (0.036000 + 0.071200),0.102700 (0.032400 + 0.070300),0.116800 (0.045000 + 0.071800),0.078400 (0.007200 + 0.071200),0.093000 (0.022500 + 0.070500),0.081100 (0.010800 + 0.070300),0.097400 (0.026100 + 0.071300),0.161000 (0.090900 + 0.070100),0.148100 (0.076500 + 0.071600),0.092000 (0.022500 + 0.069500),0.083400 (0.013500 + 0.069900),0.173400 (0.102600 + 0.070800),0.128400 (0.056700 + 0.071700),0.121600 (0.050400 + 0.071200),0.090800 (0.020700 + 0.070100),0.132400 (0.062100 + 0.070300),0.117700 (0.045900 + 0.071800),0.223100 (0.152100 + 0.071000),0.089200 (0.018900 + 0.070300),0.185100 (0.115200 + 0.069900),0.097300 (0.027000 + 0.070300),0.104700 (0.034200 + 0.070500),0.213100 (0.141300 + 0.071800),0.123900 (0.054000 + 0.069900),0.157800 (0.085500 + 0.072300),0.119100 (0.048600 + 0.070500),0.106200 (0.036900 + 0.069300),0.145200 (0.072000 + 0.073200),0.121500 (0.051300 + 0.070200),0.120700 (0.051300 + 0.069400),0.081200 (0.011700 + 0.069500),0.109700 (0.038700 + 0.071000),0.108600 (0.037800 + 0.070800),0.156800 (0.085500 + 0.071300),0.128700 (0.058500 + 0.070200),0.102200 (0.031500 + 0.070700),0.098100 (0.027000 + 0.071100),0.107800 (0.036000 + 0.071800),0.140500 (0.068400 + 0.072100),0.132500 (0.061200 + 0.071300)
2,0.215000 (0.144000 + 0.071000),0.154700 (0.081000 + 0.073700),0.119400 (0.047700 + 0.071700),0.174300 (0.102600 + 0.071700),0.130300 (0.057600 + 0.072700),0.125500 (0.054900 + 0.070600),0.122300 (0.052200 + 0.070100),0.133500 (0.060300 + 0.073200),0.119000 (0.047700 + 0.071300),0.083400 (0.013500 + 0.069900),0.110700 (0.039600 + 0.071100),0.116500 (0.045900 + 0.070600),0.128100 (0.055800 + 0.072300),0.170800 (0.099900 + 0.070900),0.120400 (0.048600 + 0.071800),0.144600 (0.072900 + 0.071700),0.128400 (0.058500 + 0.069900),0.188200 (0.117000 + 0.071200),0.157400 (0.085500 + 0.071900),0.117000 (0.045900 + 0.071100),0.189000 (0.117000 + 0.072000),0.105300 (0.033300 + 0.072000),0.126200 (0.055800 + 0.070400),0.127300 (0.054900 + 0.072400),0.118800 (0.047700 + 0.071100),0.125600 (0.054900 + 0.070700),0.116700 (0.045900 + 0.070800),0.211100 (0.140400 + 0.070700),0.119800 (0.047700 + 0.072100),0.131000 (0.057600 + 0.073400),0.091200 (0.019800 + 0.071400),0.126200 (0.055800 + 0.070400),0.128100 (0.056700 + 0.071400),0.076700 (0.007200 + 0.069500),0.132700 (0.062100 + 0.070600),0.078500 (0.009000 + 0.069500),0.180600 (0.109800 + 0.070800),0.124000 (0.052200 + 0.071800),0.143200 (0.072000 + 0.071200),0.199200 (0.126000 + 0.073200),0.134300 (0.063900 + 0.070400),0.215900 (0.144000 + 0.071900),0.156100 (0.085500 + 0.070600),0.107000 (0.036000 + 0.071000),0.126100 (0.054000 + 0.072100),0.115300 (0.044100 + 0.071200),0.093600 (0.024300 + 0.069300),0.093000 (0.021600 + 0.071400),0.105800 (0.036000 + 0.069800),0.131300 (0.060300 + 0.071000)
3,0.251000 (0.179100 + 0.071900),0.175300 (0.102600 + 0.072700),0.162700 (0.091800 + 0.070900),0.250100 (0.179100 + 0.071000),0.192900 (0.119700 + 0.073200),0.199700 (0.128700 + 0.071000),0.103800 (0.030600 + 0.073200),0.153600 (0.081900 + 0.071700),0.144100 (0.072900 + 0.071200),0.127100 (0.055800 + 0.071300),0.105100 (0.032400 + 0.072700),0.094100 (0.022500 + 0.071600),0.156200 (0.084600 + 0.071600),0.192900 (0.119700 + 0.073200),0.163600 (0.092700 + 0.070900),0.163300 (0.092700 + 0.070600),0.215900 (0.144900 + 0.071000),0.154100 (0.081900 + 0.072200),0.177100 (0.105300 + 0.071800),0.216800 (0.145800 + 0.071000),0.100200 (0.028800 + 0.071400),0.252800 (0.180900 + 0.071900),0.154700 (0.083700 + 0.071000),0.205800 (0.135000 + 0.070800),0.165500 (0.093600 + 0.071900),0.118900 (0.046800 + 0.072100),0.266900 (0.196200 + 0.070700),0.153400 (0.081900 + 0.071500),0.119500 (0.047700 + 0.071800),0.105300 (0.032400 + 0.072900),0.163500 (0.090000 + 0.073500),0.215700 (0.144900 + 0.070800),0.152300 (0.081900 + 0.070400),0.188500 (0.115200 + 0.073300),0.150500 (0.079200 + 0.071300),0.245200 (0.173700 + 0.071500),0.193100 (0.121500 + 0.071600),0.108700 (0.036900 + 0.071800),0.114800 (0.043200 + 0.071600),0.189000 (0.117000 + 0.072000),0.132500 (0.062100 + 0.070400),0.129200 (0.057600 + 0.071600),0.111400 (0.039600 + 0.071800),0.176000 (0.105300 + 0.070700),0.127300 (0.055800 + 0.071500),0.250100 (0.179100 + 0.071000),0.163700 (0.090000 + 0.073700),0.133500 (0.060300 + 0.073200),0.188300 (0.117000 + 0.071300),0.185400 (0.113400 + 0.072000)
4,0.263300 (0.192600 + 0.070700),0.195800 (0.125100 + 0.070700),0.223700 (0.152100 + 0.071600),0.226200 (0.153000 + 0.073200),0.227800 (0.154800 + 0.073000),0.264100 (0.192600 + 0.071500),0.207400 (0.135000 + 0.072400),0.212300 (0.141300 + 0.071000),0.194000 (0.122400 + 0.071600),0.208200 (0.135000 + 0.073200),0.179900 (0.106200 + 0.073700),0.207700 (0.135000 + 0.072700),0.212800 (0.141300 + 0.071500),0.223200 (0.152100 + 0.071100),0.150000 (0.077400 + 0.072600),0.196000 (0.123300 + 0.072700),0.165800 (0.093600 + 0.072200),0.212200 (0.140400 + 0.071800),0.133200 (0.063000 + 0.070200),0.194000 (0.122400 + 0.071600),0.208200 (0.135000 + 0.073200),0.223700 (0.152100 + 0.071600),0.204500 (0.133200 + 0.071300),0.224100 (0.153000 + 0.071100),0.193900 (0.122400 + 0.071500),0.263300 (0.192600 + 0.070700),0.208200 (0.135000 + 0.073200),0.208200 (0.135000 + 0.073200),0.218200 (0.144900 + 0.073300),0.134800 (0.063000 + 0.071800),0.159300 (0.088200 + 0.071100),0.111700 (0.041400 + 0.070300),0.160100 (0.088200 + 0.071900),0.212300 (0.141300 + 0.071000),0.212300 (0.141300 + 0.071000),0.145300 (0.073800 + 0.071500),0.196800 (0.125100 + 0.071700),0.223100 (0.151200 + 0.071900),0.172600 (0.101700 + 0.070900),0.157000 (0.085500 + 0.071500),0.103300 (0.031500 + 0.071800),0.177400 (0.107100 + 0.070300),0.189600 (0.118800 + 0.070800),0.193900 (0.122400 + 0.071500),0.124200 (0.053100 + 0.071100),0.164400 (0.091800 + 0.072600),0.187400 (0.115200 + 0.072200),0.209200 (0.135000 + 0.074200),0.145100 (0.073800 + 0.071300),0.196000 (0.124200 + 0.071800)
5,0.241600 (0.170100 + 0.071500),0.241800 (0.171000 + 0.070800),0.222300 (0.151200 + 0.071100),0.190900 (0.118800 + 0.072100),0.214600 (0.141300 + 0.073300),0.215600 (0.144000 + 0.071600),0.188600 (0.117000 + 0.071600),0.198300 (0.127800 + 0.070500),0.222500 (0.148500 + 0.074000),0.181400 (0.108900 + 0.072500),0.232500 (0.160200 + 0.072300),0.203600 (0.130500 + 0.073100),0.218500 (0.146700 + 0.071800),0.214700 (0.144000 + 0.070700),0.241700 (0.170100 + 0.071600),0.221500 (0.148500 + 0.073000),0.141300 (0.070200 + 0.071100),0.220900 (0.148500 + 0.072400),0.183300 (0.110700 + 0.072600),0.222700 (0.151200 + 0.071500),0.219500 (0.148500 + 0.071000),0.234700 (0.162000 + 0.072700),0.196600 (0.125100 + 0.071500),0.221700 (0.148500 + 0.073200),0.221700 (0.148500 + 0.073200),0.215500 (0.142200 + 0.073300),0.222200 (0.151200 + 0.071000),0.219300 (0.146700 + 0.072600),0.220900 (0.148500 + 0.072400),0.215300 (0.142200 + 0.073100),0.222300 (0.151200 + 0.071100),0.206400 (0.134100 + 0.072300),0.134600 (0.063900 + 0.070700),0.226900 (0.153000 + 0.073900),0.223100 (0.151200 + 0.071900),0.241700 (0.170100 + 0.071600),0.214700 (0.144000 + 0.070700),0.244200 (0.171000 + 0.073200),0.221700 (0.148500 + 0.073200),0.240700 (0.170100 + 0.070600),0.218700 (0.146700 + 0.072000),0.238700 (0.164700 + 0.074000),0.203700 (0.130500 + 0.073200),0.215400 (0.144000 + 0.071400),0.221400 (0.148500 + 0.072900),0.240800 (0.170100 + 0.070700),0.222200 (0.151200 + 0.071000),0.147100 (0.073800 + 0.073300),0.305000 (0.233100 + 0.071900),0.219400 (0.148500 + 0.070900)
6,0.320300 (0.248400 + 0.071900),0.226700 (0.155700 + 0.071000),0.220500 (0.147600 + 0.072900),0.203900 (0.131400 + 0.072500),0.265900 (0.192600 + 0.073300),0.221500 (0.148500 + 0.073000),0.253100 (0.179100 + 0.074000),0.229300 (0.157500 + 0.071800),0.262200 (0.190800 + 0.071400),0.224500 (0.150300 + 0.074200),0.242300 (0.170100 + 0.072200),0.218500 (0.145800 + 0.072700),0.262400 (0.190800 + 0.071600),0.222500 (0.150300 + 0.072200),0.227800 (0.155700 + 0.072100),0.261900 (0.190800 + 0.071100),0.227200 (0.155700 + 0.071500),0.232400 (0.161100 + 0.071300),0.164300 (0.093600 + 0.070700),0.240900 (0.169200 + 0.071700),0.218400 (0.145800 + 0.072600),0.153800 (0.081000 + 0.072800),0.301400 (0.229500 + 0.071900),0.227600 (0.155700 + 0.071900),0.217200 (0.144000 + 0.073200),0.262400 (0.190800 + 0.071600),0.223500 (0.150300 + 0.073200),0.256600 (0.185400 + 0.071200),0.222800 (0.149400 + 0.073400),0.320600 (0.248400 + 0.072200),0.262000 (0.190800 + 0.071200),0.241100 (0.169200 + 0.071900),0.227600 (0.156600 + 0.071000),0.195600 (0.123300 + 0.072300),0.250700 (0.178200 + 0.072500),0.261500 (0.190800 + 0.070700),0.239800 (0.169200 + 0.070600),0.261400 (0.190800 + 0.070600),0.240600 (0.169200 + 0.071400),0.262100 (0.190800 + 0.071300),0.243300 (0.170100 + 0.073200),0.248700 (0.175500 + 0.073200),0.240800 (0.169200 + 0.071600),0.240900 (0.169200 + 0.071700),0.239800 (0.169200 + 0.070600),0.223600 (0.150300 + 0.073300),0.247800 (0.175500 + 0.072300),0.206500 (0.134100 + 0.072400),0.215400 (0.143100 + 0.072300),0.224100 (0.150300 + 0.073800)
7,0.290000 (0.217800 + 0.072200),0.284000 (0.212400 + 0.071600),0.296400 (0.225000 + 0.071400),0.225300 (0.152100 + 0.073200),0.225200 (0.151200 + 0.074000),0.201900 (0.131400 + 0.070500),0.288000 (0.216000 + 0.072000),0.290000 (0.217800 + 0.072200),0.286600 (0.216000 + 0.070600),0.297600 (0.224100 + 0.073500),0.239400 (0.168300 + 0.071100),0.360500 (0.288900 + 0.071600),0.222800 (0.151200 + 0.071600),0.222500 (0.150300 + 0.072200),0.227700 (0.155700 + 0.072000),0.222800 (0.151200 + 0.071600),0.324400 (0.252900 + 0.071500),0.231600 (0.158400 + 0.073200),0.220100 (0.146700 + 0.073400),0.287200 (0.216000 + 0.071200),0.287100 (0.216000 + 0.071100),0.223100 (0.151200 + 0.071900),0.222100 (0.150300 + 0.071800),0.286700 (0.216000 + 0.070700),0.196400 (0.125100 + 0.071300),0.287600 (0.216000 + 0.071600),0.287600 (0.216000 + 0.071600),0.286700 (0.216000 + 0.070700),0.203600 (0.131400 + 0.072200),0.286600 (0.216000 + 0.070600),0.286700 (0.216000 + 0.070700),0.287600 (0.216000 + 0.071600),0.287100 (0.216000 + 0.071100),0.286400 (0.215100 + 0.071300),0.226200 (0.153000 + 0.073200),0.203000 (0.131400 + 0.071600),0.287400 (0.216000 + 0.071400),0.200000 (0.126000 + 0.074000),0.240300 (0.168300 + 0.072000),0.219700 (0.146700 + 0.073000),0.238600 (0.166500 + 0.072100),0.206100 (0.133200 + 0.072900),0.277500 (0.205200 + 0.072300),0.196600 (0.125100 + 0.071500),0.250900 (0.179100 + 0.071800),0.287200 (0.216000 + 0.071200),0.287200 (0.216000 + 0.071200),0.225100 (0.153900 + 0.071200),0.287100 (0.216000 + 0.071100),0.287600 (0.216000 + 0.071600)
8,0.371300 (0.299700 + 0.071600),0.275000 (0.203400 + 0.071600),0.291000 (0.219600 + 0.071400),0.310900 (0.238500 + 0.072400),0.274800 (0.203400 + 0.071400),0.226600 (0.154800 + 0.071800),0.302000 (0.230400 + 0.071600),0.274900 (0.203400 + 0.071500),0.310400 (0.238500 + 0.071900),0.275000 (0.203400 + 0.071600),0.303800 (0.230400 + 0.073400),0.275000 (0.203400 + 0.071600),0.290700 (0.218700 + 0.072000),0.228800 (0.156600 + 0.072200),0.211800 (0.140400 + 0.071400),0.226700 (0.154800 + 0.071900),0.277200 (0.205200 + 0.072000),0.310700 (0.238500 + 0.072200),0.310700 (0.238500 + 0.072200),0.275000 (0.203400 + 0.071600),0.217200 (0.144000 + 0.073200),0.274100 (0.203400 + 0.070700),0.274500 (0.203400 + 0.071100),0.274500 (0.203400 + 0.071100),0.274100 (0.203400 + 0.070700),0.235800 (0.164700 + 0.071100),0.302200 (0.230400 + 0.071800),0.275000 (0.203400 + 0.071600),0.204800 (0.133200 + 0.071600),0.274500 (0.203400 + 0.071100),0.238900 (0.166500 + 0.072400),0.275000 (0.203400 + 0.071600),0.290100 (0.218700 + 0.071400),0.230500 (0.159300 + 0.071200),0.203600 (0.132300 + 0.071300),0.340200 (0.268200 + 0.072000),0.226700 (0.154800 + 0.071900),0.292800 (0.221400 + 0.071400),0.208100 (0.135000 + 0.073100),0.275400 (0.203400 + 0.072000),0.274500 (0.203400 + 0.071100),0.242400 (0.169200 + 0.073200),0.255300 (0.183600 + 0.071700),0.281200 (0.209700 + 0.071500),0.265500 (0.194400 + 0.071100),0.275300 (0.203400 + 0.071900),0.309900 (0.238500 + 0.071400),0.274100 (0.203400 + 0.070700),0.274800 (0.203400 + 0.071400),0.275000 (0.203400 + 0.071600)
9,0.377600 (0.306000 + 0.071600),0.295100 (0.223200 + 0.071900),0.277900 (0.206100 + 0.071800),0.278000 (0.206100 + 0.071900),0.307200 (0.235800 + 0.071400),0.243300 (0.171000 + 0.072300),0.277300 (0.206100 + 0.071200),0.277200 (0.206100 + 0.071100),0.276800 (0.206100 + 0.070700),0.317100 (0.244800 + 0.072300),0.277700 (0.206100 + 0.071600),0.236400 (0.165600 + 0.070800),0.311900 (0.239400 + 0.072500),0.277500 (0.206100 + 0.071400),0.290900 (0.218700 + 0.072200),0.277600 (0.206100 + 0.071500),0.316700 (0.244800 + 0.071900),0.346500 (0.274500 + 0.072000),0.307500 (0.235800 + 0.071700),0.316900 (0.244800 + 0.072100),0.303700 (0.233100 + 0.070600),0.277900 (0.206100 + 0.071800),0.277300 (0.206100 + 0.071200),0.277900 (0.206100 + 0.071800),0.277500 (0.206100 + 0.071400),0.278000 (0.206100 + 0.071900),0.295300 (0.223200 + 0.072100),0.317200 (0.244800 + 0.072400),0.307400 (0.235800 + 0.071600),0.278100 (0.207000 + 0.071100),0.229600 (0.158400 + 0.071200),0.307800 (0.235800 + 0.072000),0.277900 (0.206100 + 0.071800),0.305600 (0.234900 + 0.070700),0.277500 (0.206100 + 0.071400),0.293900 (0.220500 + 0.073400),0.288400 (0.216900 + 0.071500),0.346500 (0.274500 + 0.072000),0.329300 (0.257400 + 0.071900),0.305500 (0.234000 + 0.071500),0.276400 (0.204300 + 0.072100),0.277500 (0.206100 + 0.071400),0.317100 (0.244800 + 0.072300),0.306300 (0.234900 + 0.071400),0.277800 (0.206100 + 0.071700),0.248000 (0.176400 + 0.071600),0.294900 (0.224100 + 0.070800),0.261600 (0.189900 + 0.071700),0.277900 (0.206100 + 0.071800),0.317000 (0.244800 + 0.072200)
10,0.383900 (0.312300 + 0.071600),0.337900 (0.265500 + 0.072400),0.302100 (0.230400 + 0.071700),0.360900 (0.288900 + 0.072000),0.335300 (0.262800 + 0.072500),0.217100 (0.145800 + 0.071300),0.308000 (0.235800 + 0.072200),0.296100 (0.224100 + 0.072000),0.296100 (0.224100 + 0.072000),0.308000 (0.235800 + 0.072200),0.337500 (0.265500 + 0.072000),0.255100 (0.183600 + 0.071500),0.338100 (0.265500 + 0.072600),0.337000 (0.265500 + 0.071500),0.291700 (0.220500 + 0.071200),0.284900 (0.213300 + 0.071600),0.306200 (0.234000 + 0.072200),0.254800 (0.183600 + 0.071200),0.255800 (0.183600 + 0.072200),0.382500 (0.310500 + 0.072000),0.309700 (0.237600 + 0.072100),0.293600 (0.221400 + 0.072200),0.331400 (0.259200 + 0.072200),0.384800 (0.312300 + 0.072500),0.295200 (0.224100 + 0.071100),0.255300 (0.183600 + 0.071700),0.361000 (0.288900 + 0.072100),0.255600 (0.183600 + 0.072000),0.336700 (0.264600 + 0.072100),0.383700 (0.312300 + 0.071400),0.254900 (0.183600 + 0.071300),0.337900 (0.265500 + 0.072400),0.295700 (0.224100 + 0.071600),0.306500 (0.234000 + 0.072500),0.360900 (0.288900 + 0.072000),0.334800 (0.262800 + 0.072000),0.360900 (0.288900 + 0.072000),0.222700 (0.150300 + 0.072400),0.337600 (0.265500 + 0.072100),0.295700 (0.224100 + 0.071600),0.284700 (0.213300 + 0.071400),0.386700 (0.315000 + 0.071700),0.270300 (0.198900 + 0.071400),0.384400 (0.312300 + 0.072100),0.337400 (0.265500 + 0.071900),0.295700 (0.224100 + 0.071600),0.270400 (0.198900 + 0.071500),0.295500 (0.224100 + 0.071400),0.307900 (0.235800 + 0.072100),0.270800 (0.198900 + 0.071900)
