Generation,Entry1,Entry2,Entry3,Entry4,Entry5,Entry6,Entry7,Entry8,Entry9,Entry10,Entry11,Entry12,Entry13,Entry14,Entry15,Entry16,Entry17,Entry18,Entry19,Entry20,Entry21,Entry22,Entry23,Entry24,Entry25,Entry26,Entry27,Entry28,Entry29,Entry30
1,0.777000 (0.143000 + 0.634000),0.800000 (0.166000 + 0.634000),0.841000 (0.212000 + 0.629000),0.819000 (0.171000 + 0.648000),0.763000 (0.130000 + 0.633000),0.680000 (0.089000 + 0.591000),0.769000 (0.120000 + 0.649000),0.757000 (0.103000 + 0.654000),0.732000 (0.147000 + 0.585000),0.705000 (0.073000 + 0.632000),0.772000 (0.132000 + 0.640000),0.715000 (0.127000 + 0.588000),0.745000 (0.115000 + 0.630000),0.763000 (0.155000 + 0.608000),0.801000 (0.158000 + 0.643000),0.779000 (0.138000 + 0.641000),0.751000 (0.109000 + 0.642000),0.765000 (0.145000 + 0.620000),0.828000 (0.202000 + 0.626000),0.766000 (0.159000 + 0.607000),0.788000 (0.146000 + 0.642000),0.714000 (0.100000 + 0.614000),0.795000 (0.192000 + 0.603000),0.800000 (0.204000 + 0.596000),0.863000 (0.235000 + 0.628000),0.763000 (0.147000 + 0.616000),0.938000 (0.306000 + 0.632000),0.697000 (0.075000 + 0.622000),0.714000 (0.100000 + 0.614000),0.781000 (0.171000 + 0.610000)
2,0.938000 (0.306000 + 0.632000),0.765000 (0.134000 + 0.631000),0.715000 (0.083000 + 0.632000),0.844000 (0.232000 + 0.612000),0.736000 (0.112000 + 0.624000),0.694000 (0.078000 + 0.616000),0.779000 (0.152000 + 0.627000),0.863000 (0.235000 + 0.628000),0.795000 (0.192000 + 0.603000),0.779000 (0.133000 + 0.646000),0.805000 (0.204000 + 0.601000),0.793000 (0.168000 + 0.625000),0.687000 (0.086000 + 0.601000),0.711000 (0.075000 + 0.636000),0.824000 (0.215000 + 0.609000),0.849000 (0.227000 + 0.622000),0.775000 (0.160000 + 0.615000),0.716000 (0.103000 + 0.613000),0.840000 (0.226000 + 0.614000),0.837000 (0.220000 + 0.617000),0.828000 (0.193000 + 0.635000),0.853000 (0.202000 + 0.651000),0.898000 (0.297000 + 0.601000),0.742000 (0.119000 + 0.623000),0.819000 (0.167000 + 0.652000),0.772000 (0.131000 + 0.641000),0.842000 (0.192000 + 0.650000),0.860000 (0.248000 + 0.612000),0.855000 (0.229000 + 0.626000),0.794000 (0.141000 + 0.653000)
3,0.938000 (0.306000 + 0.632000),0.828000 (0.204000 + 0.624000),0.863000 (0.224000 + 0.639000),0.821000 (0.212000 + 0.609000),0.751000 (0.122000 + 0.629000),0.826000 (0.226000 + 0.600000),0.843000 (0.217000 + 0.626000),0.839000 (0.211000 + 0.628000),0.786000 (0.139000 + 0.647000),0.851000 (0.249000 + 0.602000),0.937000 (0.306000 + 0.631000),0.849000 (0.196000 + 0.653000),0.832000 (0.219000 + 0.613000),0.817000 (0.215000 + 0.602000),0.815000 (0.176000 + 0.639000),0.860000 (0.226000 + 0.634000),0.750000 (0.135000 + 0.615000),0.720000 (0.105000 + 0.615000),0.822000 (0.163000 + 0.659000),0.833000 (0.195000 + 0.638000),0.753000 (0.133000 + 0.620000),0.853000 (0.202000 + 0.651000),0.880000 (0.246000 + 0.634000),0.744000 (0.126000 + 0.618000),0.911000 (0.262000 + 0.649000),0.938000 (0.306000 + 0.632000),0.779000 (0.133000 + 0.646000),0.790000 (0.140000 + 0.650000),0.847000 (0.230000 + 0.617000),0.842000 (0.192000 + 0.650000)
4,0.938000 (0.306000 + 0.632000),0.908000 (0.294000 + 0.614000),0.852000 (0.231000 + 0.621000),0.833000 (0.195000 + 0.638000),0.809000 (0.173000 + 0.636000),0.825000 (0.180000 + 0.645000),0.911000 (0.254000 + 0.657000),0.831000 (0.174000 + 0.657000),0.824000 (0.197000 + 0.627000),0.850000 (0.216000 + 0.634000),0.809000 (0.152000 + 0.657000),0.782000 (0.138000 + 0.644000),0.863000 (0.234000 + 0.629000),0.833000 (0.195000 + 0.638000),0.753000 (0.133000 + 0.620000),0.881000 (0.226000 + 0.655000),0.810000 (0.195000 + 0.615000),0.789000 (0.145000 + 0.644000),0.944000 (0.310000 + 0.634000),0.839000 (0.215000 + 0.624000),0.886000 (0.252000 + 0.634000),0.790000 (0.165000 + 0.625000),0.921000 (0.273000 + 0.648000),0.903000 (0.285000 + 0.618000),0.835000 (0.218000 + 0.617000),0.904000 (0.261000 + 0.643000),0.890000 (0.251000 + 0.639000),0.851000 (0.249000 + 0.602000),0.849000 (0.196000 + 0.653000),0.937000 (0.306000 + 0.631000)
5,0.944000 (0.310000 + 0.634000),0.806000 (0.181000 + 0.625000),0.951000 (0.266000 + 0.685000),0.913000 (0.263000 + 0.650000),0.836000 (0.213000 + 0.623000),0.851000 (0.198000 + 0.653000),0.897000 (0.262000 + 0.635000),0.908000 (0.268000 + 0.640000),0.910000 (0.302000 + 0.608000),0.927000 (0.289000 + 0.638000),0.935000 (0.297000 + 0.638000),0.831000 (0.198000 + 0.633000),0.905000 (0.256000 + 0.649000),0.853000 (0.243000 + 0.610000),0.860000 (0.215000 + 0.645000),0.895000 (0.268000 + 0.627000),0.938000 (0.298000 + 0.640000),0.928000 (0.295000 + 0.633000),0.875000 (0.248000 + 0.627000),0.907000 (0.250000 + 0.657000),0.793000 (0.158000 + 0.635000),0.863000 (0.234000 + 0.629000),0.863000 (0.234000 + 0.629000),0.824000 (0.186000 + 0.638000),0.833000 (0.192000 + 0.641000),0.969000 (0.327000 + 0.642000),0.850000 (0.210000 + 0.640000),0.853000 (0.219000 + 0.634000),0.867000 (0.228000 + 0.639000),0.938000 (0.306000 + 0.632000)
6,0.969000 (0.327000 + 0.642000),0.808000 (0.148000 + 0.660000),0.875000 (0.238000 + 0.637000),0.886000 (0.283000 + 0.603000),0.885000 (0.222000 + 0.663000),0.837000 (0.213000 + 0.624000),0.886000 (0.252000 + 0.634000),0.863000 (0.247000 + 0.616000),0.930000 (0.308000 + 0.622000),0.890000 (0.225000 + 0.665000),0.871000 (0.241000 + 0.630000),0.866000 (0.248000 + 0.618000),0.963000 (0.312000 + 0.651000),0.945000 (0.297000 + 0.648000),0.863000 (0.234000 + 0.629000),0.903000 (0.238000 + 0.665000),0.880000 (0.263000 + 0.617000),0.951000 (0.295000 + 0.656000),0.932000 (0.305000 + 0.627000),0.956000 (0.310000 + 0.646000),0.873000 (0.235000 + 0.638000),0.934000 (0.320000 + 0.614000),0.910000 (0.302000 + 0.608000),0.822000 (0.149000 + 0.673000),0.884000 (0.263000 + 0.621000),0.922000 (0.291000 + 0.631000),0.908000 (0.292000 + 0.616000),0.938000 (0.306000 + 0.632000),0.927000 (0.289000 + 0.638000),0.944000 (0.310000 + 0.634000)
7,0.969000 (0.327000 + 0.642000),0.943000 (0.317000 + 0.626000),0.923000 (0.266000 + 0.657000),0.885000 (0.222000 + 0.663000),0.885000 (0.222000 + 0.663000),0.874000 (0.276000 + 0.598000),0.932000 (0.280000 + 0.652000),0.969000 (0.317000 + 0.652000),0.881000 (0.240000 + 0.641000),0.872000 (0.240000 + 0.632000),0.966000 (0.319000 + 0.647000),0.935000 (0.257000 + 0.678000),0.875000 (0.209000 + 0.666000),0.950000 (0.294000 + 0.656000),0.922000 (0.291000 + 0.631000),0.912000 (0.292000 + 0.620000),0.920000 (0.292000 + 0.628000),0.922000 (0.291000 + 0.631000),0.886000 (0.252000 + 0.634000),0.898000 (0.268000 + 0.630000),0.936000 (0.324000 + 0.612000),0.934000 (0.322000 + 0.612000),0.895000 (0.289000 + 0.606000),0.938000 (0.306000 + 0.632000),0.944000 (0.310000 + 0.634000),0.936000 (0.273000 + 0.663000),0.881000 (0.252000 + 0.629000),0.862000 (0.236000 + 0.626000),0.991000 (0.338000 + 0.653000),0.925000 (0.302000 + 0.623000)
8,0.991000 (0.338000 + 0.653000),0.936000 (0.310000 + 0.626000),0.923000 (0.305000 + 0.618000),0.969000 (0.317000 + 0.652000),0.991000 (0.338000 + 0.653000),0.936000 (0.273000 + 0.663000),0.922000 (0.291000 + 0.631000),0.905000 (0.265000 + 0.640000),0.921000 (0.308000 + 0.613000),0.953000 (0.310000 + 0.643000),0.957000 (0.323000 + 0.634000),0.943000 (0.317000 + 0.626000),0.912000 (0.292000 + 0.620000),0.934000 (0.325000 + 0.609000),0.968000 (0.318000 + 0.650000),0.892000 (0.256000 + 0.636000),0.938000 (0.262000 + 0.676000),0.939000 (0.297000 + 0.642000),0.913000 (0.267000 + 0.646000),0.966000 (0.307000 + 0.659000),0.910000 (0.262000 + 0.648000),0.964000 (0.319000 + 0.645000),0.969000 (0.315000 + 0.654000),0.969000 (0.327000 + 0.642000),0.943000 (0.317000 + 0.626000),0.960000 (0.331000 + 0.629000),0.952000 (0.299000 + 0.653000),0.956000 (0.310000 + 0.646000),0.919000 (0.299000 + 0.620000),0.941000 (0.291000 + 0.650000)
9,0.960000 (0.302000 + 0.658000),0.957000 (0.323000 + 0.634000),0.957000 (0.323000 + 0.634000),0.966000 (0.330000 + 0.636000),0.969000 (0.327000 + 0.642000),0.993000 (0.340000 + 0.653000),0.973000 (0.314000 + 0.659000),0.964000 (0.319000 + 0.645000),0.969000 (0.317000 + 0.652000),0.863000 (0.183000 + 0.680000),0.975000 (0.317000 + 0.658000),0.923000 (0.299000 + 0.624000),0.972000 (0.326000 + 0.646000),0.939000 (0.292000 + 0.647000),0.934000 (0.322000 + 0.612000),0.921000 (0.235000 + 0.686000),0.892000 (0.261000 + 0.631000),0.943000 (0.271000 + 0.672000),0.943000 (0.317000 + 0.626000),0.968000 (0.341000 + 0.627000),0.916000 (0.272000 + 0.644000),0.964000 (0.319000 + 0.645000),0.964000 (0.319000 + 0.645000),0.934000 (0.322000 + 0.612000),0.949000 (0.306000 + 0.643000),0.936000 (0.295000 + 0.641000),0.983000 (0.364000 + 0.619000),0.954000 (0.300000 + 0.654000),0.968000 (0.327000 + 0.641000),0.960000 (0.312000 + 0.648000)
10,0.967000 (0.311000 + 0.656000),0.973000 (0.350000 + 0.623000),0.928000 (0.280000 + 0.648000),1.012000 (0.365000 + 0.647000),0.959000 (0.317000 + 0.642000),0.969000 (0.317000 + 0.652000),0.960000 (0.312000 + 0.648000),0.928000 (0.319000 + 0.609000),0.991000 (0.338000 + 0.653000),0.968000 (0.334000 + 0.634000),0.955000 (0.310000 + 0.645000),0.957000 (0.323000 + 0.634000),0.983000 (0.364000 + 0.619000),0.957000 (0.323000 + 0.634000),0.957000 (0.323000 + 0.634000),0.921000 (0.258000 + 0.663000),0.925000 (0.306000 + 0.619000),0.933000 (0.254000 + 0.679000),0.982000 (0.317000 + 0.665000),0.987000 (0.342000 + 0.645000),0.947000 (0.306000 + 0.641000),0.969000 (0.317000 + 0.652000),0.973000 (0.321000 + 0.652000),0.966000 (0.318000 + 0.648000),0.934000 (0.325000 + 0.609000),0.918000 (0.270000 + 0.648000),1.020000 (0.370000 + 0.650000),0.994000 (0.331000 + 0.663000),0.946000 (0.299000 + 0.647000),0.898000 (0.259000 + 0.639000)
