Generation,Entry1,Entry2,Entry3,Entry4,Entry5,Entry6,Entry7,Entry8,Entry9,Entry10,Entry11,Entry12,Entry13,Entry14,Entry15,Entry16,Entry17,Entry18,Entry19,Entry20,Entry21,Entry22,Entry23,Entry24,Entry25,Entry26,Entry27,Entry28,Entry29,Entry30,Entry31,Entry32,Entry33,Entry34,Entry35,Entry36,Entry37,Entry38,Entry39,Entry40,Entry41,Entry42,Entry43,Entry44,Entry45,Entry46,Entry47,Entry48,Entry49,Entry50
1,0.251900 (0.183600 + 0.068300),0.241000 (0.171000 + 0.070000),0.350200 (0.282600 + 0.067600),0.223700 (0.158400 + 0.065300),0.229000 (0.162900 + 0.066100),0.296900 (0.227700 + 0.069200),0.282700 (0.216900 + 0.065800),0.230000 (0.159300 + 0.070700),0.143700 (0.077400 + 0.066300),0.367900 (0.301500 + 0.066400),0.242400 (0.174600 + 0.067800),0.180900 (0.117000 + 0.063900),0.260400 (0.193500 + 0.066900),0.287600 (0.218700 + 0.068900),0.207900 (0.137700 + 0.070200),0.273100 (0.205200 + 0.067900),0.272400 (0.205200 + 0.067200),0.213600 (0.146700 + 0.066900),0.356900 (0.288900 + 0.068000),0.324100 (0.255600 + 0.068500),0.324700 (0.254700 + 0.070000),0.317000 (0.245700 + 0.071300),0.199700 (0.130500 + 0.069200),0.348500 (0.279900 + 0.068600),0.296800 (0.228600 + 0.068200),0.148300 (0.083700 + 0.064600),0.384900 (0.314100 + 0.070800),0.190300 (0.125100 + 0.065200),0.271000 (0.203400 + 0.067600),0.286600 (0.220500 + 0.066100),0.332600 (0.264600 + 0.068000),0.179900 (0.113400 + 0.066500),0.354300 (0.288000 + 0.066300),0.241400 (0.171000 + 0.070400),0.313600 (0.246600 + 0.067000),0.199600 (0.132300 + 0.067300),0.363900 (0.295200 + 0.068700),0.243400 (0.177300 + 0.066100),0.171400 (0.105300 + 0.066100),0.257800 (0.188100 + 0.069700),0.258200 (0.190800 + 0.067400),0.238400 (0.168300 + 0.070100),0.262900 (0.193500 + 0.069400),0.271900 (0.204300 + 0.067600),0.340600 (0.272700 + 0.067900),0.233100 (0.163800 + 0.069300),0.324400 (0.256500 + 0.067900),0.196300 (0.129600 + 0.066700),0.222200 (0.153000 + 0.069200),0.301200 (0.229500 + 0.071700)
2,0.392000 (0.320400 + 0.071600),0.386600 (0.320400 + 0.066200),0.205300 (0.135000 + 0.070300),0.285000 (0.216000 + 0.069000),0.272100 (0.204300 + 0.067800),0.248500 (0.180900 + 0.067600),0.288400 (0.220500 + 0.067900),0.237200 (0.168300 + 0.068900),0.340900 (0.274500 + 0.066400),0.260500 (0.191700 + 0.068800),0.232500 (0.164700 + 0.067800),0.348000 (0.279000 + 0.069000),0.260300 (0.192600 + 0.067700),0.296300 (0.227700 + 0.068600),0.238600 (0.171000 + 0.067600),0.338000 (0.269100 + 0.068900),0.211700 (0.143100 + 0.068600),0.288600 (0.216900 + 0.071700),0.288600 (0.216900 + 0.071700),0.217200 (0.149400 + 0.067800),0.266300 (0.196200 + 0.070100),0.269800 (0.204300 + 0.065500),0.325600 (0.257400 + 0.068200),0.366500 (0.298800 + 0.067700),0.225100 (0.158400 + 0.066700),0.348700 (0.279000 + 0.069700),0.358500 (0.286200 + 0.072300),0.298900 (0.229500 + 0.069400),0.340600 (0.270000 + 0.070600),0.233000 (0.162900 + 0.070100),0.342800 (0.271800 + 0.071000),0.347900 (0.279900 + 0.068000),0.293000 (0.226800 + 0.066200),0.396100 (0.327600 + 0.068500),0.384100 (0.317700 + 0.066400),0.217200 (0.151200 + 0.066000),0.314100 (0.246600 + 0.067500),0.284500 (0.217800 + 0.066700),0.186700 (0.115200 + 0.071500),0.252600 (0.185400 + 0.067200),0.380500 (0.311400 + 0.069100),0.413200 (0.342900 + 0.070300),0.262900 (0.195300 + 0.067600),0.376600 (0.309600 + 0.067000),0.316800 (0.247500 + 0.069300),0.246700 (0.179100 + 0.067600),0.246700 (0.179100 + 0.067600),0.356500 (0.288900 + 0.067600),0.270400 (0.203400 + 0.067000),0.287800 (0.220500 + 0.067300)
3,0.390700 (0.320400 + 0.070300),0.204200 (0.138600 + 0.065600),0.313900 (0.243000 + 0.070900),0.283600 (0.214200 + 0.069400),0.313400 (0.245700 + 0.067700),0.384100 (0.316800 + 0.067300),0.302500 (0.234000 + 0.068500),0.333800 (0.265500 + 0.068300),0.357800 (0.287100 + 0.070700),0.280100 (0.211500 + 0.068600),0.369400 (0.302400 + 0.067000),0.388700 (0.320400 + 0.068300),0.326900 (0.261000 + 0.065900),0.438800 (0.367200 + 0.071600),0.259600 (0.191700 + 0.067900),0.370700 (0.304200 + 0.066500),0.331500 (0.261000 + 0.070500),0.383100 (0.313200 + 0.069900),0.359200 (0.289800 + 0.069400),0.421100 (0.350100 + 0.071000),0.340100 (0.269100 + 0.071000),0.351300 (0.280800 + 0.070500),0.380900 (0.313200 + 0.067700),0.291400 (0.225000 + 0.066400),0.267400 (0.200700 + 0.066700),0.330100 (0.260100 + 0.070000),0.335900 (0.269100 + 0.066800),0.337900 (0.270900 + 0.067000),0.371200 (0.301500 + 0.069700),0.360100 (0.291600 + 0.068500),0.363300 (0.294300 + 0.069000),0.265500 (0.198000 + 0.067500),0.367800 (0.301500 + 0.066300),0.354500 (0.288000 + 0.066500),0.255700 (0.189900 + 0.065800),0.352200 (0.279900 + 0.072300),0.352200 (0.279900 + 0.072300),0.384100 (0.316800 + 0.067300),0.289700 (0.222300 + 0.067400),0.277700 (0.209700 + 0.068000),0.359300 (0.289800 + 0.069500),0.214200 (0.146700 + 0.067500),0.314200 (0.244800 + 0.069400),0.358000 (0.290700 + 0.067300),0.325300 (0.254700 + 0.070600),0.225100 (0.157500 + 0.067600),0.337700 (0.270000 + 0.067700),0.297400 (0.230400 + 0.067000),0.343700 (0.274500 + 0.069200),0.314600 (0.245700 + 0.068900)
4,0.393800 (0.322200 + 0.071600),0.303900 (0.234900 + 0.069000),0.307000 (0.237600 + 0.069400),0.233000 (0.165600 + 0.067400),0.364800 (0.294300 + 0.070500),0.336500 (0.266400 + 0.070100),0.463200 (0.394200 + 0.069000),0.427800 (0.358200 + 0.069600),0.308800 (0.239400 + 0.069400),0.321800 (0.255600 + 0.066200),0.333500 (0.267300 + 0.066200),0.338300 (0.269100 + 0.069200),0.360500 (0.288000 + 0.072500),0.288200 (0.219600 + 0.068600),0.338300 (0.270000 + 0.068300),0.360100 (0.288000 + 0.072100),0.322600 (0.255600 + 0.067000),0.381600 (0.310500 + 0.071100),0.286400 (0.216900 + 0.069500),0.333100 (0.264600 + 0.068500),0.304100 (0.234900 + 0.069200),0.375000 (0.307800 + 0.067200),0.329500 (0.262800 + 0.066700),0.380400 (0.313200 + 0.067200),0.383900 (0.313200 + 0.070700),0.453000 (0.380700 + 0.072300),0.321000 (0.251100 + 0.069900),0.363600 (0.291600 + 0.072000),0.308000 (0.239400 + 0.068600),0.409700 (0.340200 + 0.069500),0.374600 (0.305100 + 0.069500),0.347000 (0.276300 + 0.070700),0.290300 (0.221400 + 0.068900),0.318500 (0.252000 + 0.066500),0.318500 (0.252000 + 0.066500),0.320700 (0.255600 + 0.065100),0.344400 (0.276300 + 0.068100),0.346000 (0.279900 + 0.066100),0.358400 (0.288900 + 0.069500),0.253600 (0.181800 + 0.071800),0.403000 (0.335700 + 0.067300),0.317000 (0.249300 + 0.067700),0.324400 (0.253800 + 0.070600),0.325600 (0.257400 + 0.068200),0.334000 (0.263700 + 0.070300),0.284200 (0.216000 + 0.068200),0.404200 (0.335700 + 0.068500),0.371300 (0.300600 + 0.070700),0.351600 (0.285300 + 0.066300),0.349700 (0.279900 + 0.069800)
5,0.397500 (0.328500 + 0.069000),0.425100 (0.354600 + 0.070500),0.323900 (0.255600 + 0.068300),0.359200 (0.287100 + 0.072100),0.319000 (0.246600 + 0.072400),0.406800 (0.338400 + 0.068400),0.408400 (0.338400 + 0.070000),0.362800 (0.291600 + 0.071200),0.342200 (0.273600 + 0.068600),0.353800 (0.284400 + 0.069400),0.315100 (0.242100 + 0.073000),0.396100 (0.325800 + 0.070300),0.301800 (0.231300 + 0.070500),0.339000 (0.269100 + 0.069900),0.466500 (0.397800 + 0.068700),0.338000 (0.268200 + 0.069800),0.371300 (0.302400 + 0.068900),0.317300 (0.244800 + 0.072500),0.317300 (0.244800 + 0.072500),0.354000 (0.286200 + 0.067800),0.381500 (0.312300 + 0.069200),0.431700 (0.360900 + 0.070800),0.413000 (0.343800 + 0.069200),0.411900 (0.344700 + 0.067200),0.400100 (0.329400 + 0.070700),0.334300 (0.265500 + 0.068800),0.357400 (0.288000 + 0.069400),0.409800 (0.338400 + 0.071400),0.331800 (0.264600 + 0.067200),0.363700 (0.295200 + 0.068500),0.353800 (0.284400 + 0.069400),0.312000 (0.245700 + 0.066300),0.357400 (0.290700 + 0.066700),0.434500 (0.366300 + 0.068200),0.331600 (0.261000 + 0.070600),0.321500 (0.253800 + 0.067700),0.425000 (0.357300 + 0.067700),0.330800 (0.261000 + 0.069800),0.349400 (0.278100 + 0.071300),0.416000 (0.345600 + 0.070400),0.402700 (0.331200 + 0.071500),0.344200 (0.277200 + 0.067000),0.328400 (0.258300 + 0.070100),0.369300 (0.298800 + 0.070500),0.369300 (0.298800 + 0.070500),0.457900 (0.388800 + 0.069100),0.328600 (0.261900 + 0.066700),0.491300 (0.419400 + 0.071900),0.300000 (0.229500 + 0.070500),0.376300 (0.305100 + 0.071200)
6,0.476000 (0.404100 + 0.071900),0.433100 (0.366300 + 0.066800),0.437400 (0.367200 + 0.070200),0.395000 (0.327600 + 0.067400),0.355500 (0.284400 + 0.071100),0.335000 (0.263700 + 0.071300),0.420700 (0.353700 + 0.067000),0.369900 (0.301500 + 0.068400),0.287100 (0.220500 + 0.066600),0.325800 (0.256500 + 0.069300),0.466600 (0.396000 + 0.070600),0.414700 (0.345600 + 0.069100),0.370600 (0.301500 + 0.069100),0.389200 (0.316800 + 0.072400),0.425400 (0.358200 + 0.067200),0.396600 (0.326700 + 0.069900),0.376000 (0.303300 + 0.072700),0.419600 (0.349200 + 0.070400),0.419600 (0.349200 + 0.070400),0.366800 (0.296100 + 0.070700),0.382700 (0.314100 + 0.068600),0.360600 (0.294300 + 0.066300),0.451400 (0.379800 + 0.071600),0.372100 (0.300600 + 0.071500),0.331300 (0.261900 + 0.069400),0.376300 (0.306900 + 0.069400),0.354600 (0.284400 + 0.070200),0.376200 (0.305100 + 0.071100),0.356300 (0.287100 + 0.069200),0.433700 (0.362700 + 0.071000),0.354700 (0.289800 + 0.064900),0.416100 (0.345600 + 0.070500),0.372100 (0.300600 + 0.071500),0.339600 (0.269100 + 0.070500),0.330600 (0.262800 + 0.067800),0.352400 (0.280800 + 0.071600),0.383700 (0.315000 + 0.068700),0.409000 (0.340200 + 0.068800),0.430800 (0.360000 + 0.070800),0.322400 (0.253800 + 0.068600),0.361100 (0.293400 + 0.067700),0.441200 (0.370800 + 0.070400),0.385400 (0.315900 + 0.069500),0.394100 (0.324000 + 0.070100),0.411900 (0.342000 + 0.069900),0.437400 (0.369000 + 0.068400),0.333400 (0.264600 + 0.068800),0.339400 (0.272700 + 0.066700),0.370800 (0.299700 + 0.071100),0.411100 (0.337500 + 0.073600)
7,0.476900 (0.405000 + 0.071900),0.349300 (0.279000 + 0.070300),0.406700 (0.339300 + 0.067400),0.406600 (0.339300 + 0.067300),0.321400 (0.254700 + 0.066700),0.410400 (0.341100 + 0.069300),0.425600 (0.354600 + 0.071000),0.370300 (0.303300 + 0.067000),0.450700 (0.379800 + 0.070900),0.479600 (0.406800 + 0.072800),0.297300 (0.230400 + 0.066900),0.414000 (0.340200 + 0.073800),0.433600 (0.364500 + 0.069100),0.305300 (0.234900 + 0.070400),0.456100 (0.383400 + 0.072700),0.319000 (0.248400 + 0.070600),0.481600 (0.412200 + 0.069400),0.385500 (0.316800 + 0.068700),0.418900 (0.348300 + 0.070600),0.423800 (0.356400 + 0.067400),0.327400 (0.259200 + 0.068200),0.412300 (0.341100 + 0.071200),0.480000 (0.407700 + 0.072300),0.405800 (0.335700 + 0.070100),0.416500 (0.346500 + 0.070000),0.413500 (0.343800 + 0.069700),0.465300 (0.394200 + 0.071100),0.482000 (0.412200 + 0.069800),0.363100 (0.294300 + 0.068800),0.440700 (0.373500 + 0.067200),0.414800 (0.343800 + 0.071000),0.414600 (0.342900 + 0.071700),0.334400 (0.267300 + 0.067100),0.393900 (0.322200 + 0.071700),0.412100 (0.341100 + 0.071000),0.435000 (0.366300 + 0.068700),0.441700 (0.370800 + 0.070900),0.399900 (0.331200 + 0.068700),0.432700 (0.360900 + 0.071800),0.389900 (0.321300 + 0.068600),0.371000 (0.301500 + 0.069500),0.458400 (0.386100 + 0.072300),0.400500 (0.332100 + 0.068400),0.479700 (0.406800 + 0.072900),0.387700 (0.319500 + 0.068200),0.339100 (0.272700 + 0.066400),0.469000 (0.401400 + 0.067600),0.351700 (0.284400 + 0.067300),0.385200 (0.315900 + 0.069300),0.443600 (0.377100 + 0.066500)
8,0.439700 (0.369900 + 0.069800),0.468900 (0.399600 + 0.069300),0.428500 (0.359100 + 0.069400),0.487000 (0.419400 + 0.067600),0.347000 (0.276300 + 0.070700),0.420600 (0.348300 + 0.072300),0.486800 (0.417600 + 0.069200),0.560500 (0.490500 + 0.070000),0.400900 (0.331200 + 0.069700),0.522100 (0.452700 + 0.069400),0.522100 (0.452700 + 0.069400),0.445800 (0.375300 + 0.070500),0.421100 (0.350100 + 0.071000),0.420200 (0.351000 + 0.069200),0.462300 (0.392400 + 0.069900),0.437300 (0.369000 + 0.068300),0.497400 (0.427500 + 0.069900),0.452100 (0.380700 + 0.071400),0.396100 (0.324900 + 0.071200),0.522100 (0.452700 + 0.069400),0.427200 (0.360000 + 0.067200),0.539500 (0.468000 + 0.071500),0.411500 (0.343800 + 0.067700),0.472300 (0.404100 + 0.068200),0.394300 (0.324000 + 0.070300),0.490900 (0.422100 + 0.068800),0.366300 (0.297000 + 0.069300),0.521700 (0.450000 + 0.071700),0.311300 (0.239400 + 0.071900),0.479800 (0.408600 + 0.071200),0.424200 (0.353700 + 0.070500),0.474000 (0.401400 + 0.072600),0.462000 (0.390600 + 0.071400),0.439700 (0.369900 + 0.069800),0.424700 (0.353700 + 0.071000),0.412500 (0.344700 + 0.067800),0.375900 (0.305100 + 0.070800),0.389800 (0.319500 + 0.070300),0.475200 (0.405900 + 0.069300),0.389300 (0.317700 + 0.071600),0.497300 (0.426600 + 0.070700),0.431800 (0.359100 + 0.072700),0.352800 (0.285300 + 0.067500),0.417100 (0.347400 + 0.069700),0.477900 (0.405900 + 0.072000),0.469600 (0.398700 + 0.070900),0.467800 (0.398700 + 0.069100),0.522100 (0.452700 + 0.069400),0.418700 (0.349200 + 0.069500),0.406100 (0.336600 + 0.069500)
9,0.584800 (0.514800 + 0.070000),0.487400 (0.419400 + 0.068000),0.520800 (0.450900 + 0.069900),0.588100 (0.516600 + 0.071500),0.588100 (0.516600 + 0.071500),0.540400 (0.471600 + 0.068800),0.387800 (0.315000 + 0.072800),0.494500 (0.427500 + 0.067000),0.529400 (0.459000 + 0.070400),0.486000 (0.414900 + 0.071100),0.584500 (0.513000 + 0.071500),0.513100 (0.445500 + 0.067600),0.375200 (0.304200 + 0.071000),0.470700 (0.400500 + 0.070200),0.559500 (0.487800 + 0.071700),0.472500 (0.402300 + 0.070200),0.385200 (0.318600 + 0.066600),0.441800 (0.372600 + 0.069200),0.465700 (0.396000 + 0.069700),0.537400 (0.468000 + 0.069400),0.537400 (0.468000 + 0.069400),0.394400 (0.324900 + 0.069500),0.385700 (0.315000 + 0.070700),0.532100 (0.459900 + 0.072200),0.387600 (0.318600 + 0.069000),0.469300 (0.399600 + 0.069700),0.451900 (0.380700 + 0.071200),0.388400 (0.315900 + 0.072500),0.505200 (0.434700 + 0.070500),0.605600 (0.536400 + 0.069200),0.441200 (0.373500 + 0.067700),0.512100 (0.442800 + 0.069300),0.427400 (0.355500 + 0.071900),0.539400 (0.467100 + 0.072300),0.557400 (0.487800 + 0.069600),0.395600 (0.325800 + 0.069800),0.461900 (0.392400 + 0.069500),0.447400 (0.376200 + 0.071200),0.595500 (0.523800 + 0.071700),0.533300 (0.460800 + 0.072500),0.366900 (0.298800 + 0.068100),0.463000 (0.393300 + 0.069700),0.500700 (0.432900 + 0.067800),0.537400 (0.468000 + 0.069400),0.531000 (0.461700 + 0.069300),0.531000 (0.461700 + 0.069300),0.405300 (0.334800 + 0.070500),0.465300 (0.394200 + 0.071100),0.472400 (0.402300 + 0.070100),0.480700 (0.407700 + 0.073000)
10,0.548900 (0.479700 + 0.069200),0.435400 (0.369000 + 0.066400),0.541600 (0.469800 + 0.071800),0.597200 (0.525600 + 0.071600),0.355800 (0.287100 + 0.068700),0.433700 (0.363600 + 0.070100),0.585900 (0.516600 + 0.069300),0.511300 (0.440100 + 0.071200),0.526800 (0.457200 + 0.069600),0.411800 (0.342900 + 0.068900),0.554400 (0.482400 + 0.072000),0.521900 (0.450900 + 0.071000),0.490400 (0.418500 + 0.071900),0.516600 (0.444600 + 0.072000),0.536700 (0.463500 + 0.073200),0.341800 (0.270900 + 0.070900),0.452400 (0.380700 + 0.071700),0.493100 (0.420300 + 0.072800),0.592800 (0.521100 + 0.071700),0.495800 (0.425700 + 0.070100),0.535500 (0.464400 + 0.071100),0.487300 (0.418500 + 0.068800),0.456600 (0.388800 + 0.067800),0.457200 (0.387900 + 0.069300),0.516700 (0.447300 + 0.069400),0.516700 (0.447300 + 0.069400),0.457200 (0.387900 + 0.069300),0.529500 (0.457200 + 0.072300),0.389200 (0.321300 + 0.067900),0.558400 (0.486000 + 0.072400),0.490500 (0.418500 + 0.072000),0.506000 (0.435600 + 0.070400),0.447400 (0.376200 + 0.071200),0.439400 (0.367200 + 0.072200),0.467300 (0.397800 + 0.069500),0.529300 (0.460800 + 0.068500),0.425200 (0.357300 + 0.067900),0.517300 (0.444600 + 0.072700),0.593200 (0.522000 + 0.071200),0.487300 (0.418500 + 0.068800),0.516700 (0.447300 + 0.069400),0.416000 (0.347400 + 0.068600),0.551400 (0.480600 + 0.070800),0.505900 (0.435600 + 0.070300),0.530000 (0.459000 + 0.071000),0.573400 (0.504000 + 0.069400),0.395200 (0.327600 + 0.067600),0.592800 (0.521100 + 0.071700),0.421800 (0.351900 + 0.069900),0.424100 (0.356400 + 0.067700)
