Type,ID,WinRate,TotalWin,TotalLost,TotalDraw,UsageCount
Weapon,BSW48,75,13,4,1,18
Weapon,BSW33,72,13,5,0,18
Weapon,BSW4,71,15,5,4,24
Weapon,BSW28,67,9,4,2,15
Weapon,BSW2,67,11,5,2,18
Weapon,BSW9,66,11,5,3,19
Weapon,BSW34,66,10,5,1,16
Weapon,BSW23,60,11,7,2,20
Weapon,BSW14,59,12,8,2,22
Weapon,BSW3,59,12,8,3,23
Weapon,BSW16,57,12,9,2,23
Weapon,BSW30,57,12,9,2,23
Weapon,BSW25,56,11,8,5,24
Weapon,BSW20,54,7,6,0,13
Weapon,BSW37,54,6,5,3,14
Weapon,BSW12,53,12,10,7,29
Weapon,BSW10,53,6,5,5,16
Weapon,BSW26,53,7,6,4,17
Weapon,BSW19,53,8,7,2,17
Weapon,BSW1,52,10,9,3,22
Weapon,BSW8,52,11,10,2,23
Weapon,BSW11,52,12,11,3,26
Weapon,BSW45,50,7,7,3,17
Weapon,BSW32,50,6,6,1,13
Weapon,BSW36,50,9,9,1,19
Weapon,BSW47,50,11,11,4,26
Weapon,BSW39,50,8,8,4,20
Weapon,BSW21,48,11,12,7,30
Weapon,BSW43,48,7,8,5,20
Weapon,BSW22,47,7,8,3,18
Weapon,BSW38,47,7,8,2,17
Weapon,BSW42,46,10,12,5,27
Weapon,BSW15,45,4,5,2,11
Weapon,BSW24,45,8,10,3,21
Weapon,BSW44,45,11,14,4,29
Weapon,BSW18,45,7,9,3,19
Weapon,BSW17,44,10,13,3,26
Weapon,BSW35,43,10,13,0,23
Weapon,BSW49,43,9,12,1,22
Weapon,BSW7,42,8,11,1,20
Weapon,BSW5,41,4,7,6,17
Weapon,BSW46,39,8,13,2,23
Weapon,BSW13,38,5,9,2,16
Weapon,BSW27,38,5,9,2,16
Weapon,BSW31,37,6,11,2,19
Weapon,BSW41,35,7,14,3,24
Weapon,BSW40,35,4,9,4,17
Weapon,BSW6,34,4,9,3,16
Weapon,BSW29,32,5,12,2,19
Weapon,BSW50,20,1,10,4,15
Armor,BSA44,70,13,5,2,20
Armor,BSA16,70,14,5,4,23
Armor,BSA45,69,11,4,3,18
Armor,BSA26,66,9,4,3,16
Armor,BSA48,66,9,4,3,16
Armor,BSA24,65,15,8,0,23
Armor,BSA13,64,15,8,2,25
Armor,BSA4,63,11,6,2,19
Armor,BSA11,62,15,8,5,28
Armor,BSA15,62,9,5,2,16
Armor,BSA30,61,10,5,8,23
Armor,BSA9,60,11,7,2,20
Armor,BSA42,60,7,4,4,15
Armor,BSA37,59,12,8,2,22
Armor,BSA39,58,12,8,4,24
Armor,BSA35,58,9,6,3,18
Armor,BSA41,58,10,7,2,19
Armor,BSA46,57,8,6,0,14
Armor,BSA50,56,11,8,6,25
Armor,BSA12,56,9,7,1,17
Armor,BSA47,55,10,8,1,19
Armor,BSA14,55,11,9,2,22
Armor,BSA31,52,10,9,3,22
Armor,BSA49,50,6,6,3,15
Armor,BSA28,50,7,7,3,17
Armor,BSA34,48,9,10,2,21
Armor,BSA2,48,7,8,6,21
Armor,BSA1,48,8,9,3,20
Armor,BSA8,47,8,9,2,19
Armor,BSA7,47,9,10,0,19
Armor,BSA20,47,7,8,4,19
Armor,BSA32,47,6,7,3,16
Armor,BSA22,45,8,10,2,20
Armor,BSA27,44,10,13,1,24
Armor,BSA40,43,7,10,6,23
Armor,BSA17,42,4,6,2,12
Armor,BSA29,42,6,9,3,18
Armor,BSA33,41,6,9,1,16
Armor,BSA36,40,7,11,2,20
Armor,BSA18,39,8,14,6,28
Armor,BSA21,38,9,15,2,26
Armor,BSA10,38,6,11,3,20
Armor,BSA38,37,7,13,3,23
Armor,BSA5,35,7,14,2,23
Armor,BSA23,33,5,11,2,18
Armor,BSA19,33,6,14,3,23
Armor,BSA3,32,6,13,1,20
Armor,BSA6,32,5,11,1,17
Armor,BSA43,27,3,14,7,24
Armor,BSA25,25,2,9,3,14
