Type,ID,WinRate,TotalWin,TotalLost,TotalDraw,UsageCount
Weapon,BSW32,100,3,0,0,3
Weapon,BSW9,100,3,0,0,3
Weapon,BSW29,100,1,0,0,1
Weapon,BSW25,100,2,0,0,2
Weapon,BSW24,83,5,1,0,6
Weapon,BSW33,75,3,1,0,4
Weapon,BSW8,75,3,1,0,4
Weapon,BSW48,75,3,1,0,4
Weapon,BSW13,70,3,1,1,5
Weapon,BSW49,67,2,1,0,3
Weapon,BSW28,67,4,2,0,6
Weapon,BSW27,67,2,1,0,3
Weapon,BSW40,67,2,1,0,3
Weapon,BSW16,64,4,2,1,7
Weapon,BSW20,64,4,2,1,7
Weapon,BSW10,62,2,1,1,4
Weapon,BSW3,62,2,1,1,4
Weapon,BSW46,62,2,1,1,4
Weapon,BSW44,60,3,2,0,5
Weapon,BSW43,50,3,3,0,6
Weapon,BSW4,50,3,3,1,7
Weapon,BSW39,50,1,1,0,2
Weapon,BSW50,50,1,1,0,2
Weapon,BSW38,50,2,2,0,4
Weapon,BSW35,50,2,2,0,4
Weapon,BSW6,50,2,2,1,5
Weapon,BSW34,50,2,2,0,4
Weapon,BSW31,50,1,1,1,3
Weapon,BSW15,50,1,1,0,2
Weapon,BSW22,50,2,2,1,5
Weapon,BSW23,50,2,2,0,4
Weapon,BSW12,50,1,1,1,3
Weapon,BSW1,50,2,2,0,4
Weapon,BSW42,43,2,3,2,7
Weapon,BSW19,40,2,3,0,5
Weapon,BSW7,33,1,2,0,3
Weapon,BSW5,31,2,5,1,8
Weapon,BSW14,30,1,3,1,5
Weapon,BSW47,25,0,1,1,2
Weapon,BSW18,25,1,4,1,6
Weapon,BSW30,25,1,3,0,4
Weapon,BSW37,21,1,5,1,7
Weapon,BSW45,20,1,4,0,5
Weapon,BSW26,20,0,3,2,5
Weapon,BSW21,0,0,1,0,1
Weapon,BSW11,0,0,1,0,1
Weapon,BSW2,0,0,2,0,2
Weapon,BSW36,0,0,2,0,2
Weapon,BSW17,0,0,2,0,2
Weapon,BSW41,0,0,2,0,2
Armor,BSA9,100,3,0,0,3
Armor,BSA5,100,3,0,0,3
Armor,BSA47,100,2,0,0,2
Armor,BSA15,100,2,0,0,2
Armor,BSA8,80,4,1,0,5
Armor,BSA30,80,4,1,0,5
Armor,BSA2,80,4,1,0,5
Armor,BSA42,79,5,1,1,7
Armor,BSA41,75,3,1,0,4
Armor,BSA24,75,3,1,0,4
Armor,BSA40,75,1,0,1,2
Armor,BSA16,75,1,0,1,2
Armor,BSA1,70,2,0,3,5
Armor,BSA33,67,2,1,0,3
Armor,BSA22,67,2,1,0,3
Armor,BSA14,67,4,2,0,6
Armor,BSA27,67,2,1,0,3
Armor,BSA26,67,2,1,0,3
Armor,BSA32,64,4,2,1,7
Armor,BSA25,62,2,1,1,4
Armor,BSA31,57,4,3,0,7
Armor,BSA45,56,3,2,3,8
Armor,BSA43,50,1,1,0,2
Armor,BSA29,50,1,1,1,3
Armor,BSA21,50,1,1,0,2
Armor,BSA20,50,2,2,2,6
Armor,BSA39,50,2,2,0,4
Armor,BSA12,50,1,1,0,2
Armor,BSA38,50,3,3,0,6
Armor,BSA18,43,3,4,0,7
Armor,BSA44,40,2,3,0,5
Armor,BSA37,40,2,3,0,5
Armor,BSA6,40,1,2,2,5
Armor,BSA28,38,1,2,1,4
Armor,BSA46,33,1,2,0,3
Armor,BSA35,29,2,5,0,7
Armor,BSA3,29,2,5,0,7
Armor,BSA13,25,0,1,1,2
Armor,BSA10,25,1,3,0,4
Armor,BSA23,25,1,3,0,4
Armor,BSA4,20,1,4,0,5
Armor,BSA48,20,0,3,2,5
Armor,BSA17,0,0,3,0,3
Armor,BSA19,0,0,2,0,2
Armor,BSA49,0,0,2,0,2
Armor,BSA36,0,0,6,0,6
Armor,BSA50,0,0,2,0,2
Armor,BSA34,0,0,2,0,2
Armor,BSA7,0,0,1,0,1
Armor,BSA11,0,0,1,0,1
