Type,ID,WinRate,TotalWin,TotalLost,TotalDraw,UsageCount
Weapon,BSW1,0.439153,83,89,17,189
Weapon,BSW2,0.510526,97,82,11,190
Weapon,BSW3,0.478495,89,77,20,186
Weapon,BSW4,0.47929,81,76,12,169
Weapon,BSW5,0.452229,71,74,12,157
Weapon,BSW6,0.41358,67,70,25,162
Weapon,BSW7,0.507937,96,76,17,189
Weapon,BSW8,0.570652,105,71,8,184
Weapon,BSW9,0.648148,105,51,6,162
Weapon,BSW10,0.378049,62,80,22,164
Weapon,BSW11,0.433333,78,87,15,180
Weapon,BSW12,0.541063,112,67,28,207
Weapon,BSW13,0.355828,58,82,23,163
Weapon,BSW14,0.383721,66,91,15,172
Weapon,BSW15,0.40884,74,93,14,181
Weapon,BSW16,0.458101,82,80,17,179
Weapon,BSW17,0.452514,81,83,15,179
Weapon,BSW18,0.44086,82,89,15,186
Weapon,BSW19,0.425287,74,78,22,174
Weapon,BSW20,0.588571,103,62,10,175
Weapon,BSW21,0.433333,78,87,15,180
Weapon,BSW22,0.41358,67,82,13,162
Weapon,BSW23,0.581921,103,69,5,177
Weapon,BSW24,0.491018,82,69,16,167
Weapon,BSW25,0.512563,102,71,26,199
Weapon,BSW26,0.449704,76,75,18,169
Weapon,BSW27,0.401163,69,87,16,172
Weapon,BSW28,0.505263,96,73,21,190
Weapon,BSW29,0.475138,86,78,17,181
Weapon,BSW30,0.435233,84,86,23,193
Weapon,BSW31,0.360947,61,93,15,169
Weapon,BSW32,0.494444,89,75,16,180
Weapon,BSW33,0.612565,117,69,5,191
Weapon,BSW34,0.546961,99,76,6,181
Weapon,BSW35,0.536723,95,68,14,177
Weapon,BSW36,0.414634,68,81,15,164
Weapon,BSW37,0.371728,71,89,31,191
Weapon,BSW38,0.383085,77,85,39,201
Weapon,BSW39,0.397727,70,79,27,176
Weapon,BSW40,0.318182,56,87,33,176
Weapon,BSW41,0.324022,58,91,30,179
Weapon,BSW42,0.284404,62,128,28,218
Weapon,BSW43,0.422857,74,75,26,175
Weapon,BSW44,0.4,70,89,16,175
Weapon,BSW45,0.365714,64,88,23,175
Weapon,BSW46,0.348066,63,98,20,181
Weapon,BSW47,0.39759,66,86,14,166
Weapon,BSW48,0.530726,95,61,23,179
Weapon,BSW49,0.484163,107,93,21,221
Weapon,BSW50,0.368984,69,94,24,187
Armor,BSA1,0.459627,74,72,15,161
Armor,BSA2,0.374302,67,86,26,179
Armor,BSA3,0.410405,71,86,16,173
Armor,BSA4,0.502645,95,75,19,189
Armor,BSA5,0.517857,87,68,13,168
Armor,BSA6,0.433673,85,92,19,196
Armor,BSA7,0.45614,78,72,21,171
Armor,BSA8,0.530303,105,74,19,198
Armor,BSA9,0.497143,87,75,13,175
Armor,BSA10,0.405556,73,93,14,180
Armor,BSA11,0.513369,96,75,16,187
Armor,BSA12,0.474286,83,75,17,175
Armor,BSA13,0.494737,94,74,22,190
Armor,BSA14,0.363229,81,119,23,223
Armor,BSA15,0.497326,93,83,11,187
Armor,BSA16,0.502591,97,87,9,193
Armor,BSA17,0.353591,64,98,19,181
Armor,BSA18,0.348571,61,98,16,175
Armor,BSA19,0.39548,70,88,19,177
Armor,BSA20,0.368421,56,78,18,152
Armor,BSA21,0.427835,83,93,18,194
Armor,BSA22,0.396135,82,97,28,207
Armor,BSA23,0.508571,89,73,13,175
Armor,BSA24,0.482955,85,71,20,176
Armor,BSA25,0.463277,82,79,16,177
Armor,BSA26,0.506098,83,66,15,164
Armor,BSA27,0.505814,87,67,18,172
Armor,BSA28,0.454023,79,84,11,174
Armor,BSA29,0.346154,63,97,22,182
Armor,BSA30,0.413265,81,95,20,196
Armor,BSA31,0.487047,94,86,13,193
Armor,BSA32,0.433121,68,81,8,157
Armor,BSA33,0.466292,83,86,9,178
Armor,BSA34,0.452128,85,79,24,188
Armor,BSA35,0.388571,68,84,23,175
Armor,BSA36,0.450777,87,90,16,193
Armor,BSA37,0.448087,82,77,24,183
Armor,BSA38,0.454545,80,79,17,176
Armor,BSA39,0.389189,72,90,23,185
Armor,BSA40,0.447368,85,79,26,190
Armor,BSA41,0.421965,73,77,23,173
Armor,BSA42,0.556757,103,57,25,185
Armor,BSA43,0.38125,61,89,10,160
Armor,BSA44,0.41875,67,81,12,160
Armor,BSA45,0.525424,93,57,27,177
Armor,BSA46,0.4,70,87,18,175
Armor,BSA47,0.425532,80,85,23,188
Armor,BSA48,0.511905,86,51,31,168
Armor,BSA49,0.410112,73,85,20,178
Armor,BSA50,0.578947,99,50,22,171
