ID,WinRate,TotalWin,TotalLost,TotalDraw,UsageCount
BSW1,0.4389,79,75,26,180
BSW2,0.3778,68,95,17,180
BSW3,0.6500,117,48,15,180
BSW4,0.5056,91,67,22,180
BSW5,0.5389,97,54,29,180
BSW6,0.5222,94,71,15,180
BSW7,0.5667,102,65,13,180
BSW8,0.3389,61,87,32,180
BSW9,0.4611,83,65,32,180
BSW10,0.3389,61,98,21,180
BSW11,0.5111,92,67,21,180
BSW12,0.3611,65,53,62,180
BSW13,0.4111,74,93,13,180
BSW14,0.3167,57,75,48,180
BSW15,0.5000,90,62,28,180
BSW16,0.4500,81,77,22,180
BSW17,0.6722,121,49,10,180
BSW18,0.4778,86,63,31,180
BSW19,0.3833,69,89,22,180
BSW20,0.2778,50,98,32,180
BSW21,0.5611,101,56,23,180
BSW22,0.4278,77,85,18,180
BSW23,0.4944,89,80,11,180
BSW24,0.4667,84,70,26,180
BSW25,0.5000,90,71,19,180
BSW26,0.5333,96,64,20,180
BSW27,0.6278,113,56,11,180
BSW28,0.3556,64,84,32,180
BSW29,0.5611,101,67,12,180
BSW30,0.3611,65,90,25,180
BSW31,0.4556,82,71,27,180
BSW32,0.5722,103,60,17,180
BSW33,0.3222,58,102,20,180
BSW34,0.5056,91,67,22,180
BSW35,0.3111,56,89,35,180
BSW36,0.5167,93,79,8,180
BSW37,0.4833,87,69,24,180
BSW38,0.2944,53,94,33,180
BSW39,0.3389,61,75,44,180
BSW40,0.4000,72,73,35,180
BSW41,0.4667,84,81,15,180
BSW42,0.4167,75,85,20,180
BSW43,0.2389,43,108,29,180
BSW44,0.3611,65,89,26,180
BSW45,0.1444,26,112,42,180
BSW46,0.3556,64,71,45,180
BSW47,0.4500,81,76,23,180
BSW48,0.3944,71,86,23,180
BSW49,0.2444,44,100,36,180
BSW50,0.2389,43,109,28,180
BSA1,0.7278,131,41,8,180
BSA2,0.5500,99,62,19,180
BSA3,0.6167,111,54,15,180
BSA4,0.6056,109,62,9,180
BSA5,0.3667,66,91,23,180
BSA6,0.6056,109,64,7,180
BSA7,0.5833,105,65,10,180
BSA8,0.4222,76,86,18,180
BSA9,0.4333,78,84,18,180
BSA10,0.6000,108,59,13,180
BSA11,0.6000,108,49,23,180
BSA12,0.5611,101,59,20,180
BSA13,0.4278,77,92,11,180
BSA14,0.3444,62,93,25,180
BSA15,0.4889,88,73,19,180
BSA16,0.3444,62,96,22,180
BSA17,0.5000,90,83,7,180
BSA18,0.3944,71,78,31,180
BSA19,0.4278,77,82,21,180
BSA20,0.4556,82,78,20,180
BSA21,0.2389,43,91,46,180
BSA22,0.4722,85,73,22,180
BSA23,0.3556,64,82,34,180
BSA24,0.2778,50,95,35,180
BSA25,0.4167,75,80,25,180
BSA26,0.5667,102,66,12,180
BSA27,0.4444,80,72,28,180
BSA28,0.5889,106,60,14,180
BSA29,0.3778,68,87,25,180
BSA30,0.4333,78,75,27,180
BSA31,0.4056,73,81,26,180
BSA32,0.3278,59,99,22,180
BSA33,0.4833,87,74,19,180
BSA34,0.4056,73,68,39,180
BSA35,0.4278,77,74,29,180
BSA36,0.4111,74,71,35,180
BSA37,0.3389,61,85,34,180
BSA38,0.2944,53,77,50,180
BSA39,0.2778,50,74,56,180
BSA40,0.3000,54,95,31,180
BSA41,0.4222,76,83,21,180
BSA42,0.3056,55,80,45,180
BSA43,0.3556,64,93,23,180
BSA44,0.4278,77,69,34,180
BSA45,0.3833,69,92,19,180
BSA46,0.4500,81,74,25,180
BSA47,0.4278,77,69,34,180
BSA48,0.3500,63,79,38,180
BSA49,0.2278,41,98,41,180
BSA50,0.2500,45,103,32,180
